leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn,label,edge_GOLEM__leverage_ratio__asset_liabilities,edge_GOLEM__leverage_ratio__asset_turnover,edge_GOLEM__leverage_ratio__totaldebt_invcap,edge_GOLEM__roe__totaldebt_invcap,edge_GOLEM__debt_ratio__leverage_ratio,edge_GOLEM__debt_ratio__asset_liabilities,edge_GOLEM__debt_ratio__rect_turn,edge_GOLEM__debt_ratio2__roa,edge_GOLEM__debt_ratio2__capitalization_ratio,edge_GOLEM__debt_ratio2__totaldebt_invcap,edge_GOLEM__debt_ratio2__debt_ebitda,edge_GOLEM__debt_ratio2__rect_turn,edge_GOLEM__roa__roe,edge_GOLEM__roa__asset_turnover,edge_GOLEM__roa__debt_ratio,edge_GOLEM__roa__capitalization_ratio,edge_GOLEM__roa__totaldebt_invcap,edge_GOLEM__roa__rect_turn,edge_GOLEM__capitalization_ratio__debt_ratio,edge_GOLEM__capitalization_ratio__longtermdebt_invcap,edge_GOLEM__capitalization_ratio__totaldebt_invcap,edge_GOLEM__longtermdebt_invcap__totaldebt_invcap,edge_GOLEM__rect_turn__leverage_ratio,edge_GOLEM__rect_turn__asset_liabilities,edge_GOLEM__rect_turn__roe,edge_GOLEM__rect_turn__asset_turnover
-0.092930523,-0.24361586,0.533682885,-0.962830235,0.226244522,-0.725005817,0.194903539,-1.302739991,-1.164911815,-0.381753956,0.146147804,-0.301903954,-0.221755116,0,0.005073014607580254,0.01766973578315805,0.013398228771600105,-0.022144394588563196,-0.016588322833195134,0.05780093049946291,0.014067490726593378,-0.0160660923863605,0.648395892832241,0.21891047731909466,0.06628947062448111,0.025505896700659177,0.05679344554403834,-0.08741576728490931,-0.009272551344170656,0.03539096064557846,0.01322017584300358,-0.01075535879489138,-0.03244300529009445,1.4076507131537643,-0.4076414174974264,0.16677333748742132,0.004771550427609051,0.00650836830978755,0.015581528532681318,0.053264269594404376
-0.479427638,0.194639261,-0.1319233,0.018314301,-0.139017134,-0.807130562,-0.145974626,-0.394523914,-0.389678441,-0.784630766,-1.109303572,-0.289932277,-0.109998105,0,-0.02091007962555203,-0.0017339452040135012,0.14206721314419352,0.0112508110100356,0.052584460469474,0.0283759216692743,-0.0042876413553562896,0.013395847885446167,0.21860402003345358,0.5008995435747555,0.07087198834729065,0.014084922215329247,0.010514632413792947,-0.0012453403166399074,-0.0042672408051544816,-0.008027227755430983,-0.02035057408025961,0.003995711324428314,0.006037079896585636,0.14260141060702866,-0.2537322542572565,0.11466258697456823,0.01221056496665359,-0.0025793398364192042,-0.0019105563255094073,-0.0005025602780956306
0.080948651,-0.283520169,0.246678383,-0.458241616,0.34038879,-0.779755647,0.058552273,-0.190175296,-0.215250932,-0.652834635,-0.603375406,-0.310464706,-0.112147278,0,-0.005142753966002781,-0.007325311514311415,-0.019958057258117567,-0.017503756775024137,0.021739566997097316,0.10120696629394439,0.010703576146774122,-0.0051910036181518565,0.10180137606339151,0.4026273070251611,0.07331705697301319,0.013873074642610063,0.007886241437500515,-0.012498520768522557,-0.004191026987139499,0.0015520751337820807,0.006791737728620469,-0.0016340450509262853,-0.0071254879441036935,0.037970232016711354,-0.10176403056057248,0.05269849971322917,-0.0021019667475798767,0.003830589477211382,0.003642276953413832,0.012820231668549925
-1.28492681,1.532520021,-0.412821323,-0.598405121,-1.485919493,1.492362301,-0.964082223,1.249347186,1.013493966,-0.317353574,0.033719323,1.804442322,-0.168025784,0,-0.4412520343535471,0.1518433045909528,0.15400231379049256,0.014239754597018177,1.5063978796824893,2.3881006990346436,-0.07000613924319593,-0.16358270614624554,1.2799659941968944,-0.3745925829284273,0.8155517671197465,-0.03978099646728008,0.21730584756903867,0.26873838666560845,-0.3012387273363632,0.16788507880436793,-0.05436149966937554,0.04031081095739213,-0.2043448432984799,1.1744875563397688,0.32498517374076163,-0.12061868370215054,0.04998984727216393,-0.031022372091331216,-0.009132531686132895,0.025083251938841918
-0.953198295,0.418371295,-0.174668652,-1.074961039,-0.778225033,-0.85275542,-0.282325892,-1.039357329,-0.940094137,-0.862510298,-0.003756838,-0.300499455,-0.211009249,0,-0.08936085372386729,0.20234754300316346,0.3104938535224135,0.016374809173629778,0.5852675943222977,0.3414430480887424,-0.0460438473403377,0.02737311621713414,0.6084576982309616,0.5817418237402578,0.07760727525144955,0.02854640595531266,0.02692532130152357,0.1413721172343755,-0.04620163606153995,-0.04090067475954444,-0.04326622043480469,0.014824625487079145,0.08903388802920942,0.9063174386796364,-0.7347949850763943,0.3040784598703696,0.0465706433262622,-0.010635460192096786,-0.004852545277217346,0.05658571710995529
-0.219610741,-0.14072448,0.246678383,0.186510507,0.112100255,0.141866492,0.603957338,0.931471559,3.160890413,0.898765274,0.164885884,-0.133698553,-0.079909679,0,0.0069250896958023105,-0.008088701979794728,-0.07454273494918966,0.02409763194309371,-0.019423442432734486,0.016543502136851244,0.00251171814836009,0.009741708633548807,0.09071736931731574,0.10084807772866809,-0.005744348707231583,-0.0017984761102080595,0.08134532002571623,0.052472275028088614,-0.014236863201542587,-0.07841348251837163,-0.0964465077667884,-0.01200983880099818,0.011493742392268311,2.7310091025580583,-0.6862034460597942,1.0653829617527533,0.004063314632119231,0.0013547587162677298,0.002595276384473614,-0.0037180506100913248
-0.802250689,0.310038853,0.21003951,-0.990862936,-0.527107644,-0.168382545,0.194903539,-0.58979037,-0.556353617,-0.163092193,0.352266687,-0.149281797,-0.163727437,0,-0.05573504977295812,0.15698047430345952,0.04941385456570044,-0.0037233268212153387,0.33363794534029273,0.1713825635152671,-0.0241983466962513,-0.0037313487158138264,0.06817666695652996,0.02172059672724779,0.007612690655228869,0.0043736496402111275,0.022351976817247,-0.08996086815306334,0.021603319495597895,0.016022573896567485,0.005647898171567547,-0.007940954694830915,0.034220176969209516,0.304363593148634,-0.07884385696196376,0.0340278188408555,0.030412985215536443,-0.006115479295368672,0.0045276786536425605,0.040471346642906574
-0.38280336,-0.039488859,0.01463219,-1.018895637,-0.024872866,-0.85275542,-0.077798993,-1.012110846,-0.916837136,-0.721728067,0.127409724,-0.319560505,-0.19811421,0,0.0033872909313622007,0.07702423581564044,0.1043409525785752,-0.0011478361980302998,0.0075122078595584755,-0.0010300341278058,-0.001381676509856582,0.007543059058022937,0.5925071373713777,0.4867876973929313,0.08253000016598104,0.026801899400040338,-0.0006215535116015952,0.03692529788461104,-0.0004069127097842818,-0.010975313533253827,-0.009976576361250359,0.0038354924533044446,0.002771016863099995,0.8607249342583277,-0.5987405684678335,0.24815087693976054,0.017559771357475,0.0009425038383193876,0.0003816612732059879,0.05035677837428666
1.200142773,-0.632914082,-0.547163856,0.635033723,0.865452421,0.032366832,-0.00962336,-0.853173033,-0.781171295,1.679058278,0.146147804,-0.041001661,0.029698159,0,-0.1702079518813808,0.15050525282605934,0.7610341509926095,-0.09985737873276905,0.8194871280022534,0.5744327001394745,-0.007206719888854061,-3.541408049995952e-05,-0.01895738073575718,0.0429840640250161,-0.0004019165621890053,0.00015249485068300224,0.0028750099428661064,-0.0028467140885351057,0.001751343678166234,-0.0011444023304990648,0.0028709555162755433,-7.111935194080489e-05,-0.08127660916426031,0.6181978717543485,1.174194121557501,-0.4918832911502573,0.008252583571310966,-0.002264473287172571,0.002139439774036756,0.004704775720902308
-1.058282764,-0.487884251,-0.687612867,-0.794634029,-0.960855861,-0.880130335,-0.555028425,-1.629697779,-1.44399583,-0.852026515,0.108671644,-0.26184231,-0.20456173,0,0.11569662630399914,0.16606986653726635,0.340533854812753,0.06367868625304317,0.8022800473249727,-0.491616263476113,-0.05511217470727099,0.055540688519502446,0.9846799218143159,0.5931186916110172,0.06979447942546511,0.0285625406245777,0.2083792339977901,0.2054483765859366,-0.11214370967843026,-0.1260773814556386,-0.08402379565074575,0.02825342766092755,0.17236559264024126,2.182815968418414,-1.1381439537635896,0.4613909512875773,0.050124909268493216,0.012023588444355157,-0.018519170012037848,0.040551241541481924
