RUN,SEED,MODEL_O,MODEL_OF,AUROC_O,AUPRC_O,F1_O,THR_O,AUROC_OF,AUPRC_OF,F1_OF,THR_OF,d_AUROC,d_AUPRC,d_F1
1,35,XGBoost_GPU,LightGBM_CPU,0.9352034797461116,0.44271786552191783,0.46153846153846156,0.15,0.9327391420775706,0.49600269657424256,0.5,0.06,-0.002464337668541039,0.05328483105232473,0.038461538461538436
2,42,XGBoost_GPU,LightGBM_CPU,0.9341974799342843,0.4505224291493091,0.4647887323943662,0.27,0.9342517604996706,0.48908666308315824,0.4625,0.01,5.42805653863665e-05,0.03856423393384911,-0.0022887323943661664
3,55,XGBoost_GPU,LightGBM_CPU,0.937953695059021,0.45046406004096173,0.44755244755244755,0.23,0.9338428469070934,0.4923279212381493,0.475,0.01,-0.004110848151927637,0.041863861197187546,0.027447552447552426
4,64,XGBoost_GPU,LightGBM_CPU,0.9319394084142113,0.4441457383286659,0.4393939393939394,0.32,0.9351817675199572,0.48871683863212206,0.46511627906976744,0.1,0.0032423591057458845,0.04457110030345618,0.025722339675828043
5,100,XGBoost_GPU,LightGBM_CPU,0.9308393222890476,0.4579532239683288,0.4657534246575342,0.2,0.931371271829834,0.4880874187973334,0.49230769230769234,0.09,0.0005319495407863917,0.03013419482900459,0.026554267650158114
