RUN,SEED,AUROC_O,AUPRC_O,F1_O,THR_O,AUROC_OF,AUPRC_OF,F1_OF,THR_OF,d_AUROC,d_AUPRC,d_F1
1,35,0.9250059708621925,0.4389098573152596,0.46153846153846156,0.05,0.9327391420775706,0.49600269657424256,0.5,0.06,0.007733171215378087,0.05709283925898295,0.038461538461538436
2,42,0.9237032372929196,0.4538263234172769,0.44776119402985076,0.11,0.9342517604996706,0.48908666308315824,0.4625,0.01,0.010548523206751037,0.035260339665881324,0.01473880597014926
3,55,0.9163355552178098,0.44749621161092024,0.4852941176470588,0.07,0.9338428469070934,0.4923279212381493,0.475,0.01,0.017507291689283555,0.044831709627229044,-0.010294117647058842
4,64,0.920348698352042,0.44067495263972406,0.4748201438848921,0.07,0.9351817675199572,0.48871683863212206,0.46511627906976744,0.1,0.014833069167915158,0.048041885992398004,-0.009703864815124641
5,100,0.9208118925100057,0.44769063611987797,0.4583333333333333,0.05,0.931371271829834,0.4880874187973334,0.49230769230769234,0.09,0.01055937931982831,0.040396782677455445,0.03397435897435902
