DATASET_ID,DATASET_NAME,WEIGHT_SEED,MODEL_SEED,SET,DAG,MODEL,N_FEAT,THRESHOLD,TIME_SEC,AUROC,AUPRC,F1,Brier,ECE
0,ds_000,12345,42,F,GES,LightGBM,34,0.01,11.044994115829468,0.9293809844323337,0.4701534849462492,0.4375,0.01666604641026798,0.016988145983887298
1,ds_001,12346,42,F,GES,LightGBM,34,0.01,8.690220594406128,0.9307271424539159,0.460974463849058,0.42038216560509556,0.016653272585216542,0.016598685523894267
2,ds_002,12347,42,F,GES,LightGBM,34,0.01,10.743610620498657,0.9321673867888342,0.45356863189074825,0.4375,0.01723924730157722,0.016676499171869214
3,ds_003,12348,42,F,GES,LightGBM,34,0.01,7.810888767242432,0.934262616612748,0.45568735161657087,0.46540880503144655,0.01735244335094428,0.017028146384431304
4,ds_004,12349,42,F,GES,LightGBM,34,0.01,10.581981658935547,0.9312337610641886,0.4658715071623397,0.45569620253164556,0.01686026873146799,0.016863745411098318
5,ds_005,12350,42,F,GES,LightGBM,34,0.02,7.922611474990845,0.9284365025946111,0.4575065333422464,0.4520547945205479,0.016864743673466517,0.016720385771330556
6,ds_006,12351,42,F,GES,LightGBM,34,0.03,10.55623197555542,0.9255777261509289,0.4583211141569327,0.45390070921985815,0.017266033214020725,0.01741695032803246
7,ds_007,12352,42,F,GES,LightGBM,34,0.03,10.61035418510437,0.9285414450210248,0.45887847518689806,0.4460431654676259,0.01733045016578388,0.01711434884316675
8,ds_008,12353,42,F,GES,LightGBM,34,0.01,10.577950239181519,0.920978352910524,0.4568406439248981,0.45121951219512196,0.017028592159139117,0.01691191169824462
9,ds_009,12354,42,F,GES,LightGBM,34,0.03,10.551477670669556,0.935297566059448,0.45203672121383975,0.46153846153846156,0.01694806126025285,0.016516470953200788
10,ds_010,12355,42,F,GES,LightGBM,34,0.01,10.536399841308594,0.9329671204521933,0.4585706378819719,0.45569620253164556,0.01663683305013685,0.016705065022679037
11,ds_011,12356,42,F,GES,LightGBM,34,0.02,10.553121566772461,0.930774185610584,0.4577044523544649,0.46258503401360546,0.016798816061587007,0.0163354831527301
12,ds_012,12357,42,F,GES,LightGBM,34,0.01,9.88930630683899,0.9294569772238748,0.47884497973427165,0.4528301886792453,0.01666571108852655,0.01664718494212229
13,ds_013,12358,42,F,GES,LightGBM,34,0.01,10.611256122589111,0.9346027748225025,0.45346005954117796,0.4528301886792453,0.017185301457807455,0.01696728801973193
14,ds_014,12359,42,F,GES,LightGBM,34,0.02,8.729808568954468,0.9306004878013476,0.45827428214501953,0.4666666666666667,0.017069099464439092,0.017314846005387775
15,ds_015,12360,42,F,GES,LightGBM,34,0.01,10.576584339141846,0.929105962901043,0.4615695907265082,0.445859872611465,0.016825041275899805,0.016274463973707295
16,ds_016,12361,42,F,GES,LightGBM,34,0.01,7.805163383483887,0.9245753450434606,0.4647435374353065,0.4472049689440994,0.017048088769954128,0.016750424633302497
17,ds_017,12362,42,F,GES,LightGBM,34,0.02,10.527069568634033,0.9363976521846118,0.4501260023636748,0.46258503401360546,0.017288038453414704,0.016909861909611017
18,ds_018,12363,42,F,GES,LightGBM,34,0.02,7.835148572921753,0.9267899921112245,0.45411561156652813,0.4657534246575342,0.01708915156292872,0.01672001518280577
19,ds_019,12364,42,F,GES,LightGBM,34,0.03,10.572882890701294,0.9269709273291791,0.47305540687979314,0.46808510638297873,0.017061965660722652,0.016980038408941765
20,ds_020,12365,42,F,GES,LightGBM,34,0.03,7.8296730518341064,0.9364229831151255,0.4659545236241755,0.4647887323943662,0.016647887207977576,0.016338425777105505
21,ds_021,12366,42,F,GES,LightGBM,34,0.01,10.515318393707275,0.9289033154569338,0.46096400307031354,0.445859872611465,0.016985808916919393,0.016650228024510848
