Variable,N,Mean,Std,Min,Median,Max
edge_GOLEM__debt_ratio2__debt_ebitda,17881,0.0989,0.5374,-14.8229,0.0378,19.1741
edge_GOLEM__debt_ratio2__rect_turn,17881,0.0306,0.4754,-4.5204,0.0022,22.1394
edge_GOLEM__roa__roe,17881,0.2635,1.4604,-11.2209,0.0236,42.6994
edge_GOLEM__roa__asset_turnover,17881,0.2334,2.1136,-23.7502,0.0258,96.504
edge_GOLEM__roa__debt_ratio,17881,0.0521,0.8058,-11.3393,0.0012,32.0397
edge_GOLEM__roa__capitalization_ratio,17881,0.0121,0.1706,-3.2537,0.0038,2.3739
edge_GOLEM__roa__totaldebt_invcap,17881,0.0103,0.2158,-12.9667,-0.0002,7.2088
edge_GOLEM__roa__rect_turn,17881,0.0937,1.6121,-19.6293,0.0017,70.4137
edge_GOLEM__capitalization_ratio__debt_ratio,17881,0.021,0.1072,-2.3118,0.0051,1.8853
edge_GOLEM__capitalization_ratio__longtermdebt_invcap,17881,0.8386,1.0464,-1.2721,0.5359,18.7859
edge_GOLEM__capitalization_ratio__totaldebt_invcap,17881,-0.132,0.7541,-7.6351,-0.034,8.3909
edge_GOLEM__longtermdebt_invcap__totaldebt_invcap,17881,0.089,0.5816,-3.1418,0.017,18.6151
edge_GOLEM__rect_turn__leverage_ratio,17881,-0.0136,0.4601,-20.1449,0.0056,7.2988
edge_GOLEM__rect_turn__asset_liabilities,17881,0.0614,1.4085,-1.2066,0.0,88.5688
edge_GOLEM__rect_turn__roe,17881,-0.0024,0.1669,-8.0263,-0.0,12.7343
edge_GOLEM__rect_turn__asset_turnover,17881,0.1093,1.5232,-2.9503,0.0089,64.6299
leverage_ratio,17881,0.0,1.0,-2.3476,-0.1575,20.1202
asset_liabilities,17881,-0.0,1.0,-1.0682,-0.1517,25.6482
roe,17881,0.0,1.0,-15.0623,0.1001,21.027
asset_turnover,17881,0.0,1.0,-1.5795,-0.0938,23.6218
debt_ratio,17881,0.0,1.0,-13.5396,0.1578,1.6873
debt_ratio2,17881,-0.0,1.0,-1.2451,-0.214,7.4053
roa,17881,0.0,1.0,-7.9862,-0.0778,12.4665
capitalization_ratio,17881,0.0,1.0,-1.7024,-0.0903,2.6071
longtermdebt_invcap,17881,0.0,1.0,-1.506,-0.1183,10.3202
totaldebt_invcap,17881,0.0,1.0,-1.2819,-0.25,6.8131
cash_debt,17881,-0.0,1.0,-10.1973,0.0712,6.9106
debt_ebitda,17881,-0.0,1.0,-14.3661,-0.1146,26.4781
rect_turn,17881,-0.0,1.0,-0.2475,-0.0993,37.8508
edge_NOTEARS__asset_liabilities__rect_turn,17881,0.2971,6.8118,-5.8356,0.0001,428.3522
edge_NOTEARS__debt_ratio__leverage_ratio,17881,0.4063,0.9753,-1.5383,0.1283,17.7168
edge_NOTEARS__debt_ratio__asset_liabilities,17881,1.0249,10.4324,-1.9277,0.1648,388.2157
