leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn,label,edge_NOTEARS__asset_liabilities__rect_turn,edge_NOTEARS__debt_ratio__leverage_ratio,edge_NOTEARS__debt_ratio__asset_liabilities,edge_NOTEARS__debt_ratio2__debt_ratio,edge_NOTEARS__debt_ratio2__roa,edge_NOTEARS__debt_ratio2__capitalization_ratio,edge_NOTEARS__debt_ratio2__totaldebt_invcap,edge_NOTEARS__roa__roe,edge_NOTEARS__roa__asset_turnover,edge_NOTEARS__capitalization_ratio__debt_ratio,edge_NOTEARS__capitalization_ratio__roa,edge_NOTEARS__capitalization_ratio__longtermdebt_invcap,edge_NOTEARS__capitalization_ratio__totaldebt_invcap,edge_NOTEARS__longtermdebt_invcap__totaldebt_invcap,edge_NOTEARS__totaldebt_invcap__leverage_ratio,edge_NOTEARS__totaldebt_invcap__debt_ratio,edge_NOTEARS__debt_ebitda__debt_ratio2
-0.092930523,-0.24361586,0.533682885,-0.962830235,0.226244522,-0.725005817,0.194903539,-1.302739991,-1.164911815,-0.381753956,0.146147804,-0.301903954,-0.221755116,0,0.03147694139252285,-0.011719209229544208,0.06161618512298258,0.10124658958620868,-0.07564664312309156,0.6202383147973847,0.20999360365745862,0.06285447027664379,-0.09583229173170754,-0.2117419444311236,0.11829526254795981,1.3777598198678354,-0.40971076010386226,0.23038783002396448,0.013247580781009242,-0.055810134933242245,0.07014371363081223
-0.479427638,0.194639261,-0.1319233,0.018314301,-0.139017134,-0.807130562,-0.145974626,-0.394523914,-0.389678441,-0.784630766,-1.109303572,-0.289932277,-0.109998105,0,-0.012474667228077782,0.037149523834397465,0.030248925536337245,-0.06925848105570578,0.06307388878093739,0.20911080790661823,0.4804964180509062,0.011636759210358531,-0.0013652435966216715,0.03940149886112378,-0.02683123027856023,0.1395733273566549,-0.25502029551563743,0.15839980776302043,0.14046982735881405,0.07048311958289225,0.07499267090605959
0.080948651,-0.283520169,0.246678383,-0.458241616,0.34038879,-0.779755647,0.058552273,-0.190175296,-0.215250932,-0.652834635,-0.603375406,-0.310464706,-0.112147278,0,0.018526185786331636,0.015358426331615185,0.10788731456427127,0.16383044740781613,-0.024441661899466147,0.09738049643992615,0.38622710145512396,0.008727865042867525,-0.013701897560425924,-0.04650508357083996,0.00518785396315173,0.037163949504545636,-0.10228062341694721,0.07279996417511948,-0.019733651385275188,-0.14359188274387236,0.07757990220953341
-1.28492681,1.532520021,-0.412821323,-0.598405121,-1.485919493,1.492362301,-0.964082223,1.249347186,1.013493966,-0.317353574,0.033719323,1.804442322,-0.168025784,0,-0.15003597548518952,1.0642300678892982,2.5457315910409086,1.3687697204778249,-0.7702235425622261,1.2243815237183218,-0.35933431490277273,0.24049683561420734,0.29461293162947416,-1.333673439547358,0.5611605085811318,1.149547788338977,0.32663492187138665,-0.1666278148362975,0.15227073124220394,0.30471239973794856,0.8629700775257646
-0.953198295,0.418371295,-0.174668652,-1.074961039,-0.778225033,-0.85275542,-0.282325892,-1.039357329,-0.940094137,-0.862510298,-0.003756838,-0.300499455,-0.211009249,0,-0.051437125438291015,0.41347600128746076,0.36398061204545634,-0.40962883899907626,0.12888537572473993,0.5820344970536523,0.5580457521336881,0.02979880497166538,0.15498364199421313,0.5810869986611176,-0.13671163401080208,0.887072154611933,-0.7385250834038627,0.42006700580569417,0.3070026998840226,0.4337314752289204,0.08211956498706627
-0.219610741,-0.14072448,0.246678383,0.186510507,0.112100255,0.141866492,0.603957338,0.931471559,3.160890413,0.898765274,0.164885884,-0.133698553,-0.079909679,0,0.0065521277658548505,-0.013722145880336625,0.01763548582070242,-0.009816287509887153,0.04586849986228325,0.08677782954862369,0.09674023611625135,0.09002653300433829,0.05752438632642721,0.07501485578071246,-0.2620992290857613,2.67301722937201,-0.6896868752862261,1.4717656455201304,-0.07370458586062907,0.06510350018021993,-0.006078340148439412
-0.802250689,0.310038853,0.21003951,-0.990862936,-0.527107644,-0.168382545,0.194903539,-0.58979037,-0.556353617,-0.163092193,0.352266687,-0.149281797,-0.163727437,0,-0.029576780877324106,0.23570634160397586,0.18269497859564976,-0.054784439564636016,-0.017568927022516435,0.06521599147846739,0.020835852336553797,0.024737390891251505,-0.09862243882369175,0.22334080167504985,0.05355589538158913,0.2979005554092896,-0.07924409831493708,0.04700748609641853,0.04885825143154207,0.05554998429860135,0.008055312378420639
-0.38280336,-0.039488859,0.01463219,-1.018895637,-0.024872866,-0.85275542,-0.077798993,-1.012110846,-0.916837136,-0.721728067,0.127409724,-0.319560505,-0.19811421,0,0.004558306578377338,0.00530717520796134,-0.001098023387399651,-0.013092155597826416,0.03551623399745218,0.5667766135645891,0.4669593892605417,-0.000687886011247771,0.04048052232527996,0.01808526964126132,-0.03668528834140713,0.8424477885729382,-0.6017800029201484,0.3428062477972975,0.10316775609788686,0.011599810078148415,0.0873285099889689
1.200142773,-0.632914082,-0.547163856,0.635033723,0.865452421,0.032366832,-0.00962336,-0.853173033,-0.781171295,1.679058278,0.146147804,-0.041001661,0.029698159,0,-0.010951852991797155,0.5789458772021545,0.6123491661231558,-0.01729036774891841,-0.0001667459793388967,-0.01813412763791303,0.041233195482456346,0.0031818324327375137,-0.0031208000968533877,-0.5304584796422495,-0.0038251963687173096,0.6050706901023053,1.1801547767305756,-0.6795086419716282,0.7524771792038403,0.9389888194056615,-0.00042528504113977146
-1.058282764,-0.487884251,-0.687612867,-0.794634029,-0.960855861,-0.880130335,-0.555028425,-1.629697779,-1.44399583,-0.852026515,0.108671644,-0.26184231,-0.20456173,0,0.05815064095583372,0.5667895319999035,-0.5240662812529397,-0.521994675450593,0.2615114205874028,0.9419186982403467,0.5689592063994384,0.23061756940645342,0.2252292620920351,1.124958227892993,-0.4214171265372917,2.1364647546086784,-1.143921604597598,0.637385217933023,0.3367049351973153,0.5290086915882356,0.07385251280047858
