SEED,AUROC,AUPRC,F1,Brier,ECE,THR
35,0.9329200772955252,0.4625874985109446,0.4645161290322581,0.017036007568956117,0.016818443552113985,0.01
42,0.9335063074016979,0.4643665065075921,0.48120300751879697,0.017082206183923188,0.016775226202239025,0.06
55,0.9336148685324708,0.45402244163121874,0.445859872611465,0.017167678969488,0.01695771211785117,0.01
64,0.933868177837607,0.45725349643499774,0.4375,0.01720566170156083,0.01713264908902133,0.01
100,0.9335461131496479,0.45003262771128033,0.445859872611465,0.01745536659463397,0.017454241239057824,0.01
