GROUP,FEATURE_TYPE,FEATURE_NAME,ALG,U,V,U_COL,V_COL,WEIGHT,EXPR
PC,edge,edge_PC__debt_ratio2__capitalization_ratio,PC,debt_ratio2,capitalization_ratio,debt_ratio2,capitalization_ratio,0.21078309496905778,0.21078309496905778 * debt_ratio2 * capitalization_ratio
PC,edge,edge_PC__debt_ratio2__longtermdebt_invcap,PC,debt_ratio2,longtermdebt_invcap,debt_ratio2,longtermdebt_invcap,0.5924014339964093,0.5924014339964093 * debt_ratio2 * longtermdebt_invcap
PC,edge,edge_PC__debt_ratio2__totaldebt_invcap,PC,debt_ratio2,totaldebt_invcap,debt_ratio2,totaldebt_invcap,0.5676004694670066,0.5676004694670066 * debt_ratio2 * totaldebt_invcap
PC,edge,edge_PC__debt_ratio2__cash_debt,PC,debt_ratio2,cash_debt,debt_ratio2,cash_debt,-0.0972843637853117,-0.0972843637853117 * debt_ratio2 * cash_debt
PC,edge,edge_PC__debt_ratio2__debt_ebitda,PC,debt_ratio2,debt_ebitda,debt_ratio2,debt_ebitda,0.3434265824381695,0.3434265824381695 * debt_ratio2 * debt_ebitda
PC,edge,edge_PC__debt_ratio2__rect_turn,PC,debt_ratio2,rect_turn,debt_ratio2,rect_turn,0.11314119663369201,0.11314119663369201 * debt_ratio2 * rect_turn
PC,edge,edge_PC__roa__roe,PC,roa,roe,roa,roe,0.5477720420761151,0.5477720420761151 * roa * roe
PC,edge,edge_PC__roa__debt_ebitda,PC,roa,debt_ebitda,roa,debt_ebitda,-0.12257018363794625,-0.12257018363794625 * roa * debt_ebitda
PC,edge,edge_PC__roa__rect_turn,PC,roa,rect_turn,roa,rect_turn,0.11362438833273604,0.11362438833273604 * roa * rect_turn
PC,edge,edge_PC__longtermdebt_invcap__capitalization_ratio,PC,longtermdebt_invcap,capitalization_ratio,longtermdebt_invcap,capitalization_ratio,0.7748752971013391,0.7748752971013391 * longtermdebt_invcap * capitalization_ratio
PC,edge,edge_PC__longtermdebt_invcap__totaldebt_invcap,PC,longtermdebt_invcap,totaldebt_invcap,longtermdebt_invcap,totaldebt_invcap,-0.10131411099330559,-0.10131411099330559 * longtermdebt_invcap * totaldebt_invcap
PC,edge,edge_PC__totaldebt_invcap__leverage_ratio,PC,totaldebt_invcap,leverage_ratio,totaldebt_invcap,leverage_ratio,0.2863739574278699,0.2863739574278699 * totaldebt_invcap * leverage_ratio
PC,edge,edge_PC__totaldebt_invcap__cash_debt,PC,totaldebt_invcap,cash_debt,totaldebt_invcap,cash_debt,-0.06281307773214408,-0.06281307773214408 * totaldebt_invcap * cash_debt
GES,edge,edge_GES__leverage_ratio__capitalization_ratio,GES,leverage_ratio,capitalization_ratio,leverage_ratio,capitalization_ratio,0.09472080018973789,0.09472080018973789 * leverage_ratio * capitalization_ratio
GES,edge,edge_GES__leverage_ratio__rect_turn,GES,leverage_ratio,rect_turn,leverage_ratio,rect_turn,0.17161027797208628,0.17161027797208628 * leverage_ratio * rect_turn
GES,edge,edge_GES__asset_liabilities__leverage_ratio,GES,asset_liabilities,leverage_ratio,asset_liabilities,leverage_ratio,0.7041104916537222,0.7041104916537222 * asset_liabilities * leverage_ratio
GES,edge,edge_GES__asset_liabilities__roe,GES,asset_liabilities,roe,asset_liabilities,roe,-0.060880549050645896,-0.060880549050645896 * asset_liabilities * roe
GES,edge,edge_GES__asset_liabilities__asset_turnover,GES,asset_liabilities,asset_turnover,asset_liabilities,asset_turnover,0.05581527566181574,0.05581527566181574 * asset_liabilities * asset_turnover
GES,edge,edge_GES__asset_liabilities__capitalization_ratio,GES,asset_liabilities,capitalization_ratio,asset_liabilities,capitalization_ratio,0.07539777569513526,0.07539777569513526 * asset_liabilities * capitalization_ratio
GES,edge,edge_GES__asset_liabilities__rect_turn,GES,asset_liabilities,rect_turn,asset_liabilities,rect_turn,0.6536536416790295,0.6536536416790295 * asset_liabilities * rect_turn
GES,edge,edge_GES__roe__leverage_ratio,GES,roe,leverage_ratio,roe,leverage_ratio,-0.10465973269240925,-0.10465973269240925 * roe * leverage_ratio
GES,edge,edge_GES__roe__asset_turnover,GES,roe,asset_turnover,roe,asset_turnover,-0.14647962661999422,-0.14647962661999422 * roe * asset_turnover
GES,edge,edge_GES__roe__totaldebt_invcap,GES,roe,totaldebt_invcap,roe,totaldebt_invcap,0.14254409314898103,0.14254409314898103 * roe * totaldebt_invcap
GES,edge,edge_GES__roe__rect_turn,GES,roe,rect_turn,roe,rect_turn,-0.07813687525644453,-0.07813687525644453 * roe * rect_turn
GES,edge,edge_GES__asset_turnover__leverage_ratio,GES,asset_turnover,leverage_ratio,asset_turnover,leverage_ratio,0.11849990071239452,0.11849990071239452 * asset_turnover * leverage_ratio
GES,edge,edge_GES__asset_turnover__rect_turn,GES,asset_turnover,rect_turn,asset_turnover,rect_turn,0.25074369987990586,0.25074369987990586 * asset_turnover * rect_turn
GES,edge,edge_GES__debt_ratio__leverage_ratio,GES,debt_ratio,leverage_ratio,debt_ratio,leverage_ratio,1.281766326465264,1.281766326465264 * debt_ratio * leverage_ratio
GES,edge,edge_GES__debt_ratio__asset_liabilities,GES,debt_ratio,asset_liabilities,debt_ratio,asset_liabilities,-0.9147899082628815,-0.9147899082628815 * debt_ratio * asset_liabilities
GES,edge,edge_GES__debt_ratio__roe,GES,debt_ratio,roe,debt_ratio,roe,-0.0403743742210241,-0.0403743742210241 * debt_ratio * roe
GES,edge,edge_GES__debt_ratio__roa,GES,debt_ratio,roa,debt_ratio,roa,-0.2521291458679837,-0.2521291458679837 * debt_ratio * roa
GES,edge,edge_GES__debt_ratio__capitalization_ratio,GES,debt_ratio,capitalization_ratio,debt_ratio,capitalization_ratio,0.16046519289663524,0.16046519289663524 * debt_ratio * capitalization_ratio
GES,edge,edge_GES__debt_ratio__rect_turn,GES,debt_ratio,rect_turn,debt_ratio,rect_turn,0.16137105310224184,0.16137105310224184 * debt_ratio * rect_turn
GES,edge,edge_GES__debt_ratio2__leverage_ratio,GES,debt_ratio2,leverage_ratio,debt_ratio2,leverage_ratio,-0.03988360356924615,-0.03988360356924615 * debt_ratio2 * leverage_ratio
GES,edge,edge_GES__debt_ratio2__asset_liabilities,GES,debt_ratio2,asset_liabilities,debt_ratio2,asset_liabilities,0.051344493323753224,0.051344493323753224 * debt_ratio2 * asset_liabilities
GES,edge,edge_GES__debt_ratio2__roe,GES,debt_ratio2,roe,debt_ratio2,roe,0.014267044847888532,0.014267044847888532 * debt_ratio2 * roe
GES,edge,edge_GES__debt_ratio2__debt_ratio,GES,debt_ratio2,debt_ratio,debt_ratio2,debt_ratio,0.04511243344235849,0.04511243344235849 * debt_ratio2 * debt_ratio
GES,edge,edge_GES__debt_ratio2__roa,GES,debt_ratio2,roa,debt_ratio2,roa,0.1922260316078262,0.1922260316078262 * debt_ratio2 * roa
GES,edge,edge_GES__debt_ratio2__capitalization_ratio,GES,debt_ratio2,capitalization_ratio,debt_ratio2,capitalization_ratio,0.38772657935730015,0.38772657935730015 * debt_ratio2 * capitalization_ratio
GES,edge,edge_GES__debt_ratio2__longtermdebt_invcap,GES,debt_ratio2,longtermdebt_invcap,debt_ratio2,longtermdebt_invcap,0.5957433121865222,0.5957433121865222 * debt_ratio2 * longtermdebt_invcap
GES,edge,edge_GES__debt_ratio2__totaldebt_invcap,GES,debt_ratio2,totaldebt_invcap,debt_ratio2,totaldebt_invcap,0.6424563391782321,0.6424563391782321 * debt_ratio2 * totaldebt_invcap
GES,edge,edge_GES__roa__leverage_ratio,GES,roa,leverage_ratio,roa,leverage_ratio,-0.05552895859063778,-0.05552895859063778 * roa * leverage_ratio
GES,edge,edge_GES__roa__asset_turnover,GES,roa,asset_turnover,roa,asset_turnover,0.5735492728811198,0.5735492728811198 * roa * asset_turnover
GES,edge,edge_GES__roa__totaldebt_invcap,GES,roa,totaldebt_invcap,roa,totaldebt_invcap,-0.2250956375355691,-0.2250956375355691 * roa * totaldebt_invcap
GES,edge,edge_GES__roa__rect_turn,GES,roa,rect_turn,roa,rect_turn,0.19647619098840158,0.19647619098840158 * roa * rect_turn
GES,edge,edge_GES__longtermdebt_invcap__leverage_ratio,GES,longtermdebt_invcap,leverage_ratio,longtermdebt_invcap,leverage_ratio,0.053312190381662766,0.053312190381662766 * longtermdebt_invcap * leverage_ratio
GES,edge,edge_GES__longtermdebt_invcap__capitalization_ratio,GES,longtermdebt_invcap,capitalization_ratio,longtermdebt_invcap,capitalization_ratio,0.696240699315406,0.696240699315406 * longtermdebt_invcap * capitalization_ratio
