leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn,label
18.661,1.056486938,0.139,0.085,0.947,0.221,0.019,0.367,0.367,2.757,-0.027,11.86,0.154,0
17.595,1.054837997,0.09,0.076,0.946,0.211,0.014,0.33,0.33,2.629,0.039,15.611,0.147,0
18.41,1.052179854,0.091,0.076,0.948,0.248,0.014,0.268,0.268,3.522,-0.125,18.538,0.162,0
17.253,1.057777181,0.14,0.084,0.945,0.242,0.02,0.228,0.228,3.415,-0.01,12.277,0.166,0
16.943,1.057021788,0.134,0.095,0.944,0.242,0.02,0.165,0.165,3.623,0.006,12.607,0.179,0
16.738,1.056925829,0.131,0.108,0.944,0.248,0.018,0.097,0.097,3.967,0.053,13.615,0.206,0
15.972,1.064018748,0.1,0.12,0.941,0.214,0.014,0.032,0.032,3.516,0.033,15.084,0.236,0
15.868,1.06113802,0.096,0.121,0.941,0.203,0.015,0.01,0.01,3.384,0.054,13.625,0.23,0
15.883,1.063485696,0.119,0.101,0.941,0.201,0.018,0.016,0.016,3.335,0.076,11.797,0.197,0
15.552,1.060684774,0.131,0.11,0.94,0.169,0.02,0.026,0.026,2.732,-0.005,8.61,0.198,0
14.432,1.064167672,0.128,0.103,0.935,0.146,0.019,0.03,0.03,2.19,-0.03,7.702,0.169,0
15.047,1.064352355,0.182,0.099,0.938,0.206,0.023,0.195,0.195,2.657,0.025,9.31,0.162,0
24.814,1.044382813,-0.089,0.161,0.961,0.26,-0.006,0.718,0.718,1.895,-0.019,-39.932,0.499,0
37.775,1.026472967,-0.365,0.085,0.974,0.22,-0.014,0.695,0.695,2.595,0.028,-14.879,0.293,0
24.444,1.040908998,0.149,0.156,0.961,0.22,0.02,0.686,0.686,1.755,0.15,10.85,0.547,0
15.159,1.062509798,0.126,0.073,0.912,0.156,0.01,0.694,1.399,1.69,-0.05,15.312,0.217,0
14.92,1.071452461,0.135,0.063,0.952,0.241,0.015,0.616,0.729,1.713,0.024,13.931,0.138,0
14.879,1.06475148,0.106,0.064,0.937,0.251,0.015,0.654,0.654,1.378,-0.1,17.001,0.117,0
10.196,1.091761885,0.14,0.069,0.911,0.078,0.046,0.089,0.089,0.793,0.07,1.693,0.146,0
10.474,1.09539947,0.15,0.068,0.913,0.076,0.027,0.079,0.079,0.808,-0.017,2.981,0.134,0
11.92,1.087367911,0.141,0.074,0.923,0.117,0.023,0.069,0.069,1.409,-0.069,5.407,0.125,0
13.682,1.073427608,0.147,0.09,0.932,0.107,0.019,0.061,0.061,1.481,0.01,5.786,0.154,0
14.231,1.071055399,0.153,0.106,0.934,0.098,0.017,0.053,0.053,1.42,0.058,5.81,0.188,0
14.747,1.066045497,0.153,0.127,0.936,0.106,0.016,0.045,0.045,1.586,0.061,6.689,0.236,0
14.954,1.065247595,0.145,0.121,0.937,0.117,0.017,0.039,0.039,1.792,0.046,6.937,0.223,0
15.015,1.065018499,0.145,0.095,0.938,0.139,0.016,0.033,0.033,2.148,-0.003,8.889,0.181,0
14.894,1.066355814,0.105,0.101,0.937,0.156,0.009,0.028,0.028,2.411,-0.028,18.178,0.193,0
15.749,1.059611218,0.03,0.098,0.94,0.173,0.004,0.026,0.026,2.818,0.04,45.386,0.193,0
9.307,1.108899096,0.119,0.102,0.903,0.172,0.025,0.009,0.009,1.759,-0.027,7.407,0.165,0
9.81,1.10241325,0.115,0.096,0.907,0.213,0.025,0.071,0.071,2.141,-0.059,8.828,0.148,0
12.165,1.08087968,0.001,0.086,0.924,0.148,0.011,0.206,0.206,1.544,0.046,13.799,0.129,0
12.86,1.077224654,0.118,0.099,0.928,0.156,0.025,0.215,0.215,1.7,-0.039,6.341,0.144,0
13.717,1.071622344,0.159,0.11,0.932,0.134,0.029,0.238,0.238,1.5,0.07,4.72,0.152,0
14.445,1.068241929,0.012,0.114,0.935,0.118,0.017,0.283,0.283,1.308,0.006,7.133,0.157,0
15.584,1.061791962,-0.059,0.109,0.94,0.096,0.011,0.306,0.306,1.103,0.013,8.595,0.152,0
12.677,1.089690606,0.14,0.074,0.918,0.065,0.022,0.014,0.014,0.892,0.054,3.181,0.137,0
12.881,1.081573858,0.15,0.076,0.926,0.093,0.02,0.202,0.202,1.03,-0.008,4.619,0.15,0
12.582,1.077030282,0.136,0.074,0.926,0.1,0.021,0.333,0.333,0.903,-0.014,4.867,0.15,0
12.713,1.075120754,0.139,0.073,0.927,0.085,0.02,0.308,0.308,0.804,0.02,4.325,0.136,0
13.265,1.074160658,0.155,0.08,0.93,0.116,0.021,0.286,0.286,1.184,0.033,5.579,0.139,0
13.42,1.072777315,0.151,0.091,0.931,0.122,0.021,0.264,0.264,1.289,-0.001,6.005,0.15,0
13.41,1.071596646,0.153,0.102,0.931,0.124,0.019,0.239,0.239,1.36,0.016,6.53,0.18,0
12.425,1.077950965,0.146,0.119,0.926,0.13,0.02,0.207,0.207,1.388,-0.022,6.716,0.215,0
12.168,1.080451033,0.142,0.124,0.924,0.136,0.022,0.185,0.185,1.456,0.072,6.456,0.226,0
12.554,1.080019693,0.14,0.111,0.926,0.138,0.022,0.261,0.335,1.776,-0.011,6.385,0.205,0
13.886,1.075919223,0.143,0.111,0.933,0.166,0.02,0.07,0.07,2.301,-0.037,8.771,0.196,0
14.058,1.064884496,0.159,0.107,0.934,0.139,0.021,0.154,0.154,1.768,-0.011,6.967,0.165,0
13.08,1.070582329,0.174,0.099,0.929,0.167,0.026,0.142,0.142,2.014,-0.059,6.673,0.153,0
13.526,1.069355959,0.166,0.094,0.931,0.141,0.026,0.148,0.148,1.75,-0.007,5.614,0.149,0
14.642,1.068600164,0.132,0.097,0.936,0.141,0.021,0.209,0.209,1.742,-0.005,6.86,0.152,0
13.879,1.068567962,0.152,0.107,0.933,0.135,0.023,0.191,0.191,1.622,0.019,5.849,0.165,0
14.051,1.070048868,0.106,0.105,0.934,0.137,0.02,0.189,0.189,1.673,-0.009,6.976,0.161,0
13.05,1.072501509,0.129,0.102,0.929,0.109,0.025,0.177,0.177,1.26,0.052,4.379,0.162,0
11.617,1.081857073,0.133,0.091,0.921,0.11,0.03,0.157,0.157,1.168,0.039,3.74,0.15,0
11.141,1.08728862,0.164,0.088,0.918,0.148,0.034,0.428,0.428,1.025,-0.064,4.579,0.142,0
11.34,1.095129836,0.136,0.076,0.919,0.159,0.03,0.207,0.207,1.556,0.013,5.74,0.119,0
11.581,1.084723374,0.096,0.086,0.921,0.127,0.024,0.204,0.204,1.276,-0.015,5.353,0.124,0
12.062,1.084585756,0.129,0.086,0.923,0.193,0.027,0.36,0.36,1.616,-0.022,7.33,0.135,0
12.198,1.082056689,0.158,0.089,0.924,0.221,0.027,0.506,0.506,1.442,-0.019,7.993,0.136,0
12.7,1.080366058,0.181,0.092,0.927,0.242,0.03,0.673,0.673,1.084,0.044,8.376,0.145,0
13.229,1.077277533,0.33,0.158,0.93,0.273,0.059,0.725,0.725,1.067,0.055,4.672,0.249,0
13.637,1.073161902,0.055,0.091,0.932,0.259,0.027,0.702,0.702,1.131,-0.04,10.572,0.152,0
12.345,1.077885015,0.184,0.09,0.925,0.221,0.028,0.678,0.678,0.949,0.115,7.912,0.143,0
11.763,1.082902872,0.198,0.079,0.922,0.216,0.031,0.675,0.675,0.895,-0.004,7.103,0.121,0
12.621,1.083192474,0.199,0.069,0.927,0.217,0.029,0.695,0.695,0.904,-0.013,7.77,0.106,0
13.31,1.076196873,0.185,0.063,0.93,0.231,0.027,0.725,0.725,0.909,0.026,8.704,0.099,0
13.094,1.07761804,0.204,0.065,0.929,0.199,0.026,0.655,0.655,0.969,0.021,7.773,0.098,0
13.575,1.074216643,0.204,0.071,0.931,0.202,0.025,0.598,0.598,1.183,0.02,8.065,0.103,0
21.696,1.05619809,0.136,0.068,0.948,0.057,0.016,0.259,0.259,0.951,-0.007,4.724,0.106,0
23.343,1.051990675,0.144,0.079,0.95,0.057,0.016,0.228,0.23,1.068,0.037,3.562,0.124,0
21.869,1.052620916,0.14,0.079,0.954,0.098,0.017,0.273,0.273,1.631,-0.009,6.016,0.146,0
22.244,1.042743581,0.127,0.074,0.957,0.102,0.016,0.31,0.31,1.637,0.086,6.553,0.135,0
22.004,1.044631923,0.132,0.075,0.957,0.07,0.014,0.282,0.282,1.151,-0.045,5.068,0.127,0
22.573,1.044543913,0.172,0.081,0.958,0.078,0.018,0.284,0.284,1.322,0.033,4.537,0.132,0
21.08,1.048624746,0.187,0.093,0.955,0.089,0.02,0.265,0.265,1.453,0.013,4.828,0.154,0
20.829,1.044946178,0.176,0.108,0.954,0.09,0.018,0.237,0.237,1.493,-0.001,5.184,0.184,0
19.963,1.048636769,0.159,0.123,0.952,0.087,0.016,0.214,0.214,1.424,0.039,5.358,0.205,0
18.767,1.053401898,0.154,0.126,0.949,0.096,0.018,0.193,0.193,1.525,-0.011,5.411,0.199,0
17.035,1.058547338,0.141,0.109,0.945,0.094,0.018,0.134,0.134,1.466,0.014,5.341,0.169,0
17.894,1.055105442,0.147,0.111,0.947,0.093,0.018,0.091,0.091,1.592,-0.013,5.211,0.163,0
18.543,1.054202231,0.156,0.106,0.949,0.076,0.019,0.186,0.186,1.209,0.021,4.131,0.15,0
18.878,1.051646991,0.161,0.098,0.95,0.081,0.019,0.201,0.201,1.286,-0.001,4.511,0.142,0
19.651,1.052722084,0.046,0.132,0.948,0.02,0.022,0.294,0.277,0.277,-0.03,0.87,0.193,0
18.218,1.059655028,0.016,0.128,0.943,0.018,0.024,0.255,0.238,0.238,0.052,0.747,0.177,0
18.947,1.053974214,0.071,0.121,0.944,0.014,0.026,0.195,0.178,0.211,0.016,0.561,0.164,0
15.497,1.072272365,0.115,0.131,0.934,0.018,0.034,0.196,0.182,0.219,-0.045,0.523,0.181,0
15.03,1.073895259,0.148,0.135,0.932,0.025,0.044,0.14,0.13,0.323,-0.025,0.59,0.183,0
14.926,1.071889807,0.159,0.13,0.936,0.015,0.032,0.115,0.112,0.209,0.059,0.484,0.17,0
14.737,1.06550511,0.036,0.126,0.936,0.013,0.02,0.09,0.09,0.18,-0.012,0.638,0.159,0
17.981,1.059821747,-0.363,0.106,0.947,0.014,-0.003,0.163,0.163,0.223,-0.025,-4.612,0.145,0
30.717,1.027925474,-1.004,0.102,0.968,0.016,-0.012,0.25,0.25,0.389,0.024,-1.253,0.148,0
12.544,1.087923074,0.16,0.073,0.918,0.028,0.031,0.149,0.149,0.328,0.057,1.095,0.123,0
12.724,1.087586006,0.158,0.079,0.919,0.042,0.029,0.127,0.128,0.511,-0.053,1.487,0.132,0
11.776,1.090219613,0.148,0.083,0.92,0.036,0.027,0.18,0.21,0.439,0.014,1.345,0.142,0
11.867,1.083394198,0.152,0.081,0.922,0.035,0.027,0.17,0.197,0.432,0.026,1.322,0.146,0
11.797,1.082712725,0.16,0.081,0.922,0.053,0.029,0.223,0.27,0.645,0.05,1.893,0.142,0
12.182,1.081206788,0.165,0.085,0.924,0.071,0.03,0.243,0.299,0.865,-0.014,2.447,0.142,0
12.479,1.080718466,0.175,0.096,0.926,0.072,0.031,0.226,0.226,0.756,0.055,2.472,0.159,0
12.698,1.078641428,0.171,0.109,0.927,0.071,0.028,0.456,0.785,0.917,-0.028,2.627,0.186,0
13.026,1.077399371,0.178,0.124,0.929,0.108,0.029,0.361,0.543,1.458,0.006,3.953,0.218,0
13.156,1.073223942,0.194,0.129,0.929,0.123,0.031,0.417,0.693,1.688,0.069,4.32,0.242,0
12.479,1.077611452,0.19,0.114,0.926,0.105,0.03,0.263,0.34,1.349,0.062,3.87,0.201,0
12.063,1.082970021,0.199,0.123,0.923,0.101,0.031,0.2,0.24,1.267,0.039,3.47,0.2,0
12.138,1.079265239,0.194,0.127,0.924,0.101,0.031,0.126,0.126,1.162,-0.029,3.456,0.202,0
12.588,1.082209205,0.217,0.131,0.926,0.13,0.035,0.128,0.128,1.544,-0.048,4.054,0.209,0
12.031,1.080886506,0.155,0.112,0.923,0.124,0.031,0.111,0.111,1.441,0.003,4.359,0.169,0
11.474,1.086389211,0.177,0.111,0.92,0.111,0.034,0.148,0.148,1.18,-0.003,3.357,0.164,0
11.285,1.087845699,0.168,0.118,0.919,0.122,0.034,0.182,0.182,1.228,-0.001,3.746,0.178,0
9.816,1.093894127,0.172,0.123,0.908,0.118,0.033,0.139,0.139,1.103,0.041,3.581,0.182,0
8.882,1.105680389,0.169,0.122,0.899,0.142,0.037,0.161,0.161,1.177,-0.043,3.945,0.18,0
11.448,1.089788158,0.188,0.105,0.92,0.088,0.043,0.149,0.149,0.933,0.041,2.412,0.17,0
10.642,1.092762434,0.178,0.098,0.914,0.102,0.041,0.188,0.188,0.96,0.004,2.557,0.152,0
10.517,1.096504083,0.172,0.09,0.913,0.153,0.038,0.194,0.194,1.419,-0.018,4.15,0.135,0
10.314,1.092982915,0.135,0.096,0.912,0.135,0.033,0.22,0.22,1.19,0.011,4.086,0.136,0
10.368,1.099657778,0.195,0.117,0.912,0.153,0.045,0.26,0.26,1.291,0.023,3.505,0.162,0
10.682,1.092777236,0.148,0.121,0.914,0.201,0.046,0.451,0.451,1.289,-0.018,4.528,0.166,0
9.715,1.098327411,0.319,0.188,0.907,0.199,0.073,0.505,0.505,1.054,0.033,2.78,0.273,0
11.477,1.085333865,0.178,0.1,0.92,0.255,0.048,0.558,0.558,1.405,-0.005,6.115,0.167,0
13.009,1.080574328,0.021,0.091,0.929,0.287,0.023,0.665,0.665,1.348,0.03,12.837,0.155,0
13.011,1.07434225,0.086,0.093,0.929,0.267,0.023,0.671,0.671,1.229,-0.023,11.549,0.153,0
11.72,1.081317745,0.143,0.083,0.921,0.254,0.032,0.661,0.661,1.093,0.05,7.872,0.152,0
11.913,1.088019675,0.151,0.073,0.923,0.27,0.03,0.656,0.656,1.2,0.042,9.214,0.15,0
12.331,1.077253714,0.157,0.069,0.925,0.308,0.03,0.652,0.652,1.432,-0.132,10.467,0.162,0
17.381,1.066876995,0.087,0.09,0.942,0.088,0.017,0.374,0.357,0.976,-0.068,5.388,0.168,0
18.38,1.0614692,0.137,0.094,0.945,0.076,0.019,0.377,0.361,0.882,0,4.096,0.169,0
17.169,1.064839425,0.133,0.105,0.942,0.056,0.019,0.357,0.343,0.634,0.018,2.927,0.183,0
16.335,1.0641051,0.1,0.106,0.939,0.063,0.018,0.325,0.311,0.71,-0.051,3.588,0.178,0
15.755,1.061807947,0.158,0.078,0.934,0.083,0.019,0.218,0.218,1.25,-0.051,5.782,0.143,0
14.44,1.070729679,0.117,0.088,0.928,0.048,0.017,0.165,0.166,0.617,0.037,2.75,0.161,0
12.682,1.085735735,0.118,0.088,0.925,0.03,0.021,0.136,0.136,0.354,0.152,1.413,0.165,0
13.13,1.076270977,0.102,0.08,0.929,0.011,0.02,0.112,0.112,0.132,0.069,0.542,0.169,0
14.503,1.068296858,0.11,0.077,0.935,0.027,0.02,0.096,0.096,0.376,-0.036,1.395,0.172,0
17.79,1.064796525,0.123,0.084,0.947,0.046,0.021,0.164,0.164,0.72,0.055,2.424,0.193,0
20.313,1.049064997,0.155,0.092,0.953,0.106,0.02,0.201,0.201,1.81,0.046,5.628,0.216,0
20.325,1.047655314,0.202,0.109,0.953,0.139,0.022,0.18,0.18,2.433,0.109,6.332,0.282,0
19.509,1.048687469,0.195,0.123,0.951,0.153,0.022,0.188,0.188,2.543,0.025,7.042,0.334,0
17.515,1.055887657,0.183,0.124,0.946,0.147,0.024,0.155,0.155,2.302,0.069,6.352,0.354,0
14.839,1.063786413,0.159,0.111,0.937,0.103,0.023,0.129,0.129,1.419,0.001,4.36,0.303,0
15.423,1.065272396,0.158,0.106,0.939,0.121,0.023,0.108,0.108,1.779,0.014,5.571,0.285,0
16.171,1.061238326,0.158,0.104,0.942,0.089,0.022,0.088,0.088,1.386,0.108,4.17,0.256,0
16.586,1.057824471,0.159,0.094,0.943,0.083,0.022,0.06,0.06,1.364,0.046,3.907,0.214,0
15.632,1.066618009,0.133,0.09,0.94,0.076,0.022,0.042,0.042,1.211,-0.019,3.599,0.18,0
16.312,1.060648777,0.144,0.096,0.942,0.104,0.02,0.099,0.099,1.615,0.013,5.18,0.187,0
15.366,1.063722957,0.155,0.107,0.939,0.106,0.023,0.181,0.181,1.421,-0.006,4.688,0.199,0
13.753,1.06851034,0.162,0.107,0.932,0.063,0.024,0.196,0.196,0.745,-0.061,2.637,0.191,0
13.837,1.071553166,0.109,0.095,0.931,0.112,0.021,0.178,0.175,1.35,0.01,5.893,0.162,0
13.688,1.078995156,0.128,0.092,0.931,0.117,0.024,0.238,0.235,1.289,-0.055,4.981,0.175,0
12.499,1.082592586,0.131,0.083,0.925,0.148,0.025,0.239,0.236,1.51,-0.042,6.056,0.16,0
12.342,1.079226775,0.143,0.081,0.925,0.185,0.027,0.311,0.309,1.699,-0.053,7.051,0.144,0
12.131,1.085131512,0.15,0.087,0.924,0.226,0.027,0.396,0.396,1.795,-0.012,8.722,0.152,0
12.736,1.07855504,0.17,0.089,0.927,0.272,0.027,0.439,0.439,2.098,-0.047,10.352,0.161,0
12.497,1.081443216,0.168,0.09,0.926,0.308,0.028,0.524,0.524,1.982,0.03,11.491,0.161,0
11.707,1.084456157,0.158,0.094,0.921,0.302,0.028,0.497,0.496,1.924,-0.026,11.011,0.169,0
