,leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn,label
109,37.775,1.0264729670368637,-0.365,0.085,0.9740000000000001,0.22,-0.013999999999999999,0.695,0.695,2.595,0.027999999999999997,-14.879000000000001,0.293,0
110,24.444000000000003,1.040908998338041,0.149,0.156,0.961,0.22,0.02,0.6859999999999999,0.6859999999999999,1.755,0.15,10.85,0.547,0
111,15.159,1.0625097977739457,0.126,0.073,0.912,0.156,0.01,0.6940000000000001,1.399,1.69,-0.05,15.312000000000001,0.217,0
112,14.92,1.0714524614451226,0.135,0.063,0.9520000000000001,0.24100000000000002,0.015,0.616,0.7290000000000001,1.713,0.024,13.931,0.138,0
113,14.879000000000001,1.064751480079113,0.106,0.064,0.937,0.251,0.015,0.654,0.654,1.3780000000000001,-0.1,17.000999999999998,0.11699999999999999,0
114,10.196,1.0917618850876778,0.14,0.069,0.9109999999999999,0.078,0.046,0.08900000000000001,0.08900000000000001,0.7929999999999999,0.07,1.693,0.146,0
115,10.474,1.0953994702503718,0.15,0.068,0.9129999999999999,0.076,0.027000000000000003,0.079,0.079,0.8079999999999999,-0.017,2.9810000000000003,0.134,0
116,11.92,1.0873679109800878,0.141,0.07400000000000001,0.9229999999999999,0.11699999999999999,0.023,0.069,0.069,1.409,-0.069,5.407,0.125,0
117,13.682,1.0734276083840222,0.147,0.09,0.932,0.107,0.019,0.061,0.061,1.4809999999999999,0.01,5.7860000000000005,0.154,0
118,14.231,1.071055398779922,0.153,0.106,0.934,0.098,0.017,0.053,0.053,1.42,0.057999999999999996,5.81,0.188,0
119,14.747,1.066045496760446,0.153,0.127,0.9359999999999999,0.106,0.016,0.045,0.045,1.5859999999999999,0.061,6.689,0.23600000000000002,0
120,14.954,1.0652475950047018,0.145,0.121,0.937,0.11699999999999999,0.017,0.039,0.039,1.7919999999999998,0.046,6.937,0.223,0
121,15.015,1.0650184985174613,0.145,0.095,0.938,0.139,0.016,0.033,0.033,2.148,-0.003,8.889,0.18100000000000002,0
122,14.894,1.0663558142111642,0.105,0.10099999999999999,0.937,0.156,0.009000000000000001,0.027999999999999997,0.027999999999999997,2.411,-0.027999999999999997,18.178,0.193,0
123,15.749,1.0596112180874024,0.03,0.098,0.94,0.17300000000000001,0.004,0.026000000000000002,0.026000000000000002,2.818,0.04,45.386,0.193,0
138,9.307,1.1088990955882305,0.11900000000000001,0.102,0.903,0.172,0.025,0.009000000000000001,0.009000000000000001,1.7590000000000001,-0.027000000000000003,7.407,0.165,0
139,9.81,1.1024132502184025,0.115,0.096,0.907,0.213,0.025,0.071,0.071,2.141,-0.059000000000000004,8.828,0.14800000000000002,0
140,12.165,1.0808796802938154,0.001,0.086,0.924,0.14800000000000002,0.011000000000000001,0.20600000000000002,0.20600000000000002,1.544,0.046,13.799000000000001,0.129,0
141,12.86,1.077224654288408,0.11800000000000001,0.099,0.9279999999999999,0.156,0.025,0.215,0.215,1.7,-0.039,6.341,0.14400000000000002,0
142,13.717,1.071622343647617,0.159,0.11,0.932,0.134,0.028999999999999998,0.23800000000000002,0.23800000000000002,1.5,0.07,4.72,0.152,0
143,14.445,1.0682419285816176,0.012,0.114,0.935,0.11800000000000001,0.017,0.28300000000000003,0.28300000000000003,1.308,0.006,7.132999999999999,0.157,0
144,15.584000000000001,1.0617919621781324,-0.059000000000000004,0.109,0.94,0.096,0.011000000000000001,0.306,0.306,1.103,0.013000000000000001,8.595,0.152,0
146,12.677,1.0896906061505847,0.14,0.07400000000000001,0.9179999999999999,0.065,0.022000000000000002,0.013999999999999999,0.013999999999999999,0.892,0.054000000000000006,3.181,0.13699999999999998,0
147,12.880999999999998,1.0815738583051773,0.15,0.076,0.9259999999999999,0.09300000000000001,0.02,0.20199999999999999,0.20199999999999999,1.03,-0.008,4.619,0.15,0
148,12.582,1.0770302820164281,0.136,0.07400000000000001,0.9259999999999999,0.1,0.021,0.33299999999999996,0.33299999999999996,0.903,-0.013999999999999999,4.867,0.15,0
149,12.713,1.0751207538470278,0.139,0.073,0.927,0.085,0.02,0.308,0.308,0.804,0.02,4.325,0.136,0
150,13.265,1.074160658110503,0.155,0.08,0.93,0.11599999999999999,0.021,0.28600000000000003,0.28600000000000003,1.1840000000000002,0.033,5.579,0.139,0
151,13.42,1.0727773150944928,0.151,0.091,0.9309999999999999,0.122,0.021,0.264,0.264,1.2890000000000001,-0.001,6.005,0.15,0
152,13.41,1.0715966462062032,0.153,0.102,0.9309999999999999,0.124,0.019,0.239,0.239,1.36,0.016,6.53,0.18,0
153,12.425,1.0779509654076527,0.146,0.11900000000000001,0.9259999999999999,0.13,0.02,0.207,0.207,1.3880000000000001,-0.022000000000000002,6.716,0.215,0
154,12.168,1.0804510331685249,0.142,0.124,0.924,0.136,0.022000000000000002,0.185,0.185,1.456,0.07200000000000001,6.456,0.226,0
155,12.554,1.0800196930720596,0.14,0.111,0.9259999999999999,0.138,0.022000000000000002,0.261,0.335,1.776,-0.011000000000000001,6.385,0.205,0
156,13.886,1.0759192230472778,0.14300000000000002,0.111,0.9329999999999999,0.166,0.02,0.07,0.07,2.301,-0.037000000000000005,8.771,0.196,0
157,14.058,1.0648844957045254,0.159,0.107,0.934,0.139,0.021,0.154,0.154,1.768,-0.011000000000000001,6.9670000000000005,0.165,0
158,13.08,1.0705823293583967,0.174,0.099,0.929,0.16699999999999998,0.026000000000000002,0.142,0.142,2.0140000000000002,-0.059000000000000004,6.672999999999999,0.153,0
159,13.526,1.0693559592987425,0.166,0.094,0.9309999999999999,0.141,0.026000000000000002,0.14800000000000002,0.14800000000000002,1.75,-0.006999999999999999,5.614,0.149,0
160,14.642000000000001,1.0686001641983673,0.132,0.09699999999999999,0.9359999999999999,0.141,0.021,0.209,0.209,1.742,-0.005,6.86,0.152,0
161,13.879000000000001,1.0685679615550485,0.152,0.107,0.9329999999999999,0.135,0.023,0.191,0.191,1.6219999999999999,0.019,5.849,0.165,0
162,14.050999999999998,1.0700488677295714,0.106,0.105,0.934,0.13699999999999998,0.02,0.18899999999999997,0.18899999999999997,1.673,-0.009000000000000001,6.976,0.161,0
163,13.05,1.072501508764508,0.129,0.102,0.929,0.109,0.025,0.177,0.177,1.26,0.052000000000000005,4.379,0.162,0
164,11.617,1.081857072846311,0.133,0.091,0.9209999999999999,0.11,0.03,0.157,0.157,1.168,0.039,3.74,0.15,0
165,11.140999999999998,1.0872886195230027,0.16399999999999998,0.08800000000000001,0.9179999999999999,0.14800000000000002,0.034,0.428,0.428,1.025,-0.064,4.579,0.142,0
166,11.34,1.0951298356445316,0.136,0.076,0.919,0.159,0.03,0.207,0.207,1.556,0.013000000000000001,5.74,0.11900000000000001,0
167,11.581,1.0847233735582225,0.096,0.086,0.9209999999999999,0.127,0.024,0.204,0.204,1.276,-0.015,5.353,0.124,0
168,12.062000000000001,1.0845857561365486,0.129,0.086,0.9229999999999999,0.193,0.027000000000000003,0.36,0.36,1.6159999999999999,-0.022000000000000002,7.33,0.135,0
169,12.198,1.082056689285619,0.158,0.08900000000000001,0.924,0.221,0.027000000000000003,0.506,0.506,1.442,-0.019,7.992999999999999,0.136,0
170,12.7,1.080366058464371,0.18100000000000002,0.092,0.927,0.242,0.03,0.6729999999999999,0.6729999999999999,1.084,0.044000000000000004,8.376,0.145,0
171,13.229000000000001,1.0772775325388857,0.33,0.158,0.93,0.273,0.059000000000000004,0.725,0.725,1.067,0.055,4.672,0.249,0
172,13.637,1.0731619024030474,0.055,0.091,0.932,0.259,0.027000000000000003,0.7020000000000001,0.7020000000000001,1.131,-0.04,10.572000000000001,0.152,0
173,12.345,1.0778850154381314,0.184,0.09,0.925,0.221,0.027999999999999997,0.6779999999999999,0.6779999999999999,0.9490000000000001,0.115,7.912000000000001,0.14300000000000002,0
174,11.763,1.0829028723690615,0.198,0.079,0.922,0.21600000000000003,0.031,0.675,0.675,0.895,-0.004,7.103,0.121,0
175,12.620999999999999,1.083192474224258,0.19899999999999998,0.069,0.927,0.217,0.028999999999999998,0.695,0.695,0.904,-0.013000000000000001,7.77,0.106,0
176,13.31,1.0761968729797944,0.185,0.063,0.93,0.231,0.027000000000000003,0.725,0.725,0.909,0.026000000000000002,8.704,0.099,0
177,13.094000000000001,1.0776180400278124,0.204,0.065,0.929,0.19899999999999998,0.026000000000000002,0.655,0.655,0.9690000000000001,0.021,7.773,0.098,0
178,13.575,1.074216643031309,0.204,0.071,0.9309999999999999,0.20199999999999999,0.025,0.598,0.598,1.183,0.02,8.065,0.10300000000000001,0
179,21.695999999999998,1.0561980896432406,0.136,0.068,0.948,0.057,0.016,0.259,0.259,0.951,-0.006999999999999999,4.724,0.106,0
180,23.343000000000004,1.0519906754902602,0.14400000000000002,0.079,0.95,0.057,0.016,0.228,0.23,1.068,0.037000000000000005,3.562,0.124,0
181,21.869,1.0526209161361295,0.14,0.079,0.9540000000000001,0.098,0.017,0.273,0.273,1.631,-0.009000000000000001,6.016,0.146,0
182,22.244,1.0427435806455538,0.127,0.07400000000000001,0.9570000000000001,0.102,0.016,0.31,0.31,1.6369999999999998,0.086,6.553,0.135,0
183,22.004,1.0446319233213988,0.132,0.075,0.9570000000000001,0.07,0.013999999999999999,0.282,0.282,1.151,-0.045,5.0680000000000005,0.127,0
184,22.573,1.0445439126416192,0.172,0.081,0.958,0.078,0.018000000000000002,0.284,0.284,1.3219999999999998,0.033,4.537,0.132,0
185,21.08,1.048624746250563,0.187,0.09300000000000001,0.955,0.08900000000000001,0.02,0.265,0.265,1.453,0.013000000000000001,4.828,0.154,0
186,20.829,1.0449461776800697,0.17600000000000002,0.10800000000000001,0.9540000000000001,0.09,0.018000000000000002,0.237,0.237,1.493,-0.001,5.184,0.184,0
187,19.963,1.0486367689987137,0.159,0.12300000000000001,0.9520000000000001,0.087,0.016,0.214,0.214,1.4240000000000002,0.039,5.358,0.205,0
188,18.767,1.0534018983330002,0.154,0.126,0.9490000000000001,0.096,0.018000000000000002,0.193,0.193,1.525,-0.011000000000000001,5.4110000000000005,0.19899999999999998,0
189,17.035,1.058547337966842,0.141,0.109,0.945,0.094,0.018000000000000002,0.134,0.134,1.466,0.013999999999999999,5.341,0.16899999999999998,0
190,17.894000000000002,1.0551054420078514,0.147,0.111,0.9470000000000001,0.09300000000000001,0.018000000000000002,0.091,0.091,1.5919999999999999,-0.013000000000000001,5.211,0.163,0
191,18.543,1.0542022311583863,0.156,0.106,0.9490000000000001,0.076,0.019,0.18600000000000003,0.18600000000000003,1.209,0.021,4.131,0.15,0
192,18.878,1.0516469907833879,0.161,0.098,0.95,0.081,0.019,0.201,0.201,1.286,-0.001,4.511,0.142,0
193,19.651,1.0527220841162461,0.046,0.132,0.948,0.02,0.022000000000000002,0.294,0.27699999999999997,0.27699999999999997,-0.03,0.87,0.193,0
194,18.218,1.05965502845177,0.016,0.128,0.943,0.018000000000000002,0.024,0.255,0.23800000000000002,0.23800000000000002,0.052000000000000005,0.747,0.177,0
195,18.947,1.053974213617899,0.071,0.121,0.9440000000000001,0.013999999999999999,0.026000000000000002,0.195,0.17800000000000002,0.21100000000000002,0.016,0.561,0.16399999999999998,0
196,15.497,1.0722723646395034,0.115,0.131,0.934,0.018000000000000002,0.034,0.196,0.182,0.21899999999999997,-0.045,0.523,0.18100000000000002,0
197,15.03,1.073895259372572,0.14800000000000002,0.135,0.932,0.025,0.044000000000000004,0.14,0.13,0.32299999999999995,-0.025,0.59,0.183,0
198,14.925999999999998,1.0718898074402663,0.159,0.13,0.9359999999999999,0.015,0.032,0.115,0.11199999999999999,0.209,0.059000000000000004,0.484,0.17,0
199,14.737,1.065505109733624,0.036000000000000004,0.126,0.9359999999999999,0.013000000000000001,0.02,0.09,0.09,0.18,-0.012,0.638,0.159,0
200,17.980999999999998,1.0598217467016615,-0.363,0.106,0.9470000000000001,0.013999999999999999,-0.003,0.163,0.163,0.223,-0.025,-4.612,0.145,0
201,30.717,1.0279254736505694,-1.004,0.102,0.968,0.016,-0.012,0.25,0.25,0.389,0.024,-1.253,0.14800000000000002,0
202,12.544,1.0879230739947827,0.16,0.073,0.9179999999999999,0.027999999999999997,0.031,0.149,0.149,0.32799999999999996,0.057,1.095,0.12300000000000001,0
203,12.724,1.08758600577851,0.158,0.079,0.919,0.042,0.028999999999999998,0.127,0.128,0.511,-0.053,1.4869999999999999,0.132,0
204,11.776,1.0902196134353839,0.14800000000000002,0.083,0.92,0.036000000000000004,0.027000000000000003,0.18,0.21,0.439,0.013999999999999999,1.345,0.142,0
205,11.867,1.0833941977274633,0.152,0.081,0.922,0.035,0.027000000000000003,0.17,0.19699999999999998,0.43200000000000005,0.026000000000000002,1.3219999999999998,0.146,0
206,11.797,1.0827127246102075,0.16,0.081,0.922,0.053,0.028999999999999998,0.223,0.27,0.645,0.05,1.893,0.142,0
207,12.182,1.0812067884622527,0.165,0.085,0.924,0.071,0.03,0.243,0.299,0.865,-0.013999999999999999,2.447,0.142,0
208,12.479000000000001,1.0807184658066757,0.175,0.096,0.9259999999999999,0.07200000000000001,0.031,0.226,0.226,0.7559999999999999,0.055,2.472,0.159,0
209,12.698,1.0786414277599765,0.171,0.109,0.927,0.071,0.027999999999999997,0.456,0.785,0.917,-0.027999999999999997,2.627,0.18600000000000003,0
210,13.026,1.0773993713547467,0.17800000000000002,0.124,0.929,0.10800000000000001,0.028999999999999998,0.361,0.5429999999999999,1.4580000000000002,0.006,3.9530000000000003,0.218,0
211,13.155999999999999,1.073223942181069,0.19399999999999998,0.129,0.929,0.12300000000000001,0.031,0.41700000000000004,0.693,1.6880000000000002,0.069,4.32,0.242,0
212,12.479000000000001,1.0776114516061983,0.19,0.114,0.9259999999999999,0.105,0.03,0.263,0.34,1.349,0.062,3.87,0.201,0
213,12.062999999999999,1.0829700209772575,0.19899999999999998,0.12300000000000001,0.9229999999999999,0.10099999999999999,0.031,0.2,0.24,1.2670000000000001,0.039,3.47,0.2,0
214,12.138,1.0792652393151605,0.19399999999999998,0.127,0.924,0.10099999999999999,0.031,0.126,0.126,1.162,-0.028999999999999998,3.4560000000000004,0.20199999999999999,0
215,12.588,1.0822092045824838,0.217,0.131,0.9259999999999999,0.13,0.035,0.128,0.128,1.544,-0.048,4.053999999999999,0.209,0
216,12.030999999999999,1.0808865061521653,0.155,0.11199999999999999,0.9229999999999999,0.124,0.031,0.111,0.111,1.4409999999999998,0.003,4.359,0.16899999999999998,0
217,11.474,1.0863892107711786,0.177,0.111,0.92,0.111,0.034,0.14800000000000002,0.14800000000000002,1.18,-0.003,3.3569999999999998,0.16399999999999998,0
218,11.285,1.08784569921712,0.168,0.11800000000000001,0.919,0.122,0.034,0.182,0.182,1.228,-0.001,3.7460000000000004,0.17800000000000002,0
219,9.816,1.093894126853569,0.172,0.12300000000000001,0.9079999999999999,0.11800000000000001,0.033,0.139,0.139,1.103,0.040999999999999995,3.5810000000000004,0.182,0
220,8.882,1.105680389262479,0.16899999999999998,0.122,0.899,0.142,0.037000000000000005,0.161,0.161,1.177,-0.043,3.945,0.18,0
221,11.448,1.0897881578754702,0.188,0.105,0.92,0.08800000000000001,0.043,0.149,0.149,0.9329999999999999,0.040999999999999995,2.412,0.17,0
222,10.642000000000001,1.0927624338263124,0.17800000000000002,0.098,0.914,0.102,0.040999999999999995,0.188,0.188,0.96,0.004,2.557,0.152,0
223,10.517000000000001,1.0965040826371726,0.172,0.09,0.9129999999999999,0.153,0.038,0.19399999999999998,0.19399999999999998,1.419,-0.018000000000000002,4.15,0.135,0
224,10.314,1.0929829151487196,0.135,0.096,0.912,0.135,0.033,0.22,0.22,1.19,0.011000000000000001,4.086,0.136,0
225,10.368,1.0996577778047936,0.195,0.11699999999999999,0.912,0.153,0.045,0.26,0.26,1.291,0.023,3.505,0.162,0
226,10.682,1.0927772358132868,0.14800000000000002,0.121,0.914,0.201,0.046,0.451,0.451,1.2890000000000001,-0.018000000000000002,4.5280000000000005,0.166,0
227,9.715,1.0983274105662166,0.319,0.188,0.907,0.19899999999999998,0.073,0.505,0.505,1.054,0.033,2.78,0.273,0
228,11.477,1.0853338645947472,0.17800000000000002,0.1,0.92,0.255,0.048,0.5579999999999999,0.5579999999999999,1.405,-0.005,6.115,0.16699999999999998,0
229,13.009,1.0805743277117132,0.021,0.091,0.929,0.287,0.023,0.665,0.665,1.348,0.03,12.837,0.155,0
230,13.011,1.0743422496160213,0.086,0.09300000000000001,0.929,0.267,0.023,0.6709999999999999,0.6709999999999999,1.229,-0.023,11.549000000000001,0.153,0
231,11.72,1.0813177446849571,0.14300000000000002,0.083,0.9209999999999999,0.254,0.032,0.6609999999999999,0.6609999999999999,1.093,0.05,7.872000000000001,0.152,0
232,11.913,1.0880196749861735,0.151,0.073,0.9229999999999999,0.27,0.03,0.6559999999999999,0.6559999999999999,1.2,0.042,9.214,0.15,0
