SET,DAG,MODEL,K_EDGE,N_EDGE,N_FEAT,FEATURE_KEY,AUROC_MEAN,AUROC_STD,AUROC_MIN,AUROC_MAX,AUPRC_MEAN,AUPRC_STD,AUPRC_MIN,AUPRC_MAX,F1_MEAN,F1_STD,F1_MIN,F1_MAX,Brier_MEAN,Brier_STD,Brier_MIN,Brier_MAX,ECE_MEAN,ECE_STD,ECE_MIN,ECE_MAX,THR_MEAN,THR_STD,THR_MIN,THR_MAX,TIME_SEC_MEAN,TIME_SEC_STD,TIME_SEC_MIN,TIME_SEC_MAX
F,GES,LightGBM,34,34,34,b154670abb75bb96,0.9278895957424738,0.002071260092054672,0.9241809062683197,0.9314689768475295,0.46379517733582704,0.004021374856721843,0.4530240281909847,0.47268564022108855,0.4455853974797598,0.013141057261185687,0.425,0.4892086330935252,0.016911175720045968,0.00016060172659734343,0.01668996690388926,0.01727865700151859,0.01672280209648609,0.0003076066063366582,0.01615553701892218,0.01733315104889724,0.014,0.0067466466766320544,0.01,0.03,4.395179224014282,1.4888806003478463,3.3168225288391113,6.573615312576294
F,GOLEM,XGBoost,25,25,25,710761342f601788,0.8850795994335522,0.0031881820523103656,0.8773440157486014,0.8919273943157392,0.3412355569745307,0.0075168989036691,0.32553385934984375,0.35556494380523546,0.39632320590622416,0.02630443309391237,0.34285714285714286,0.4429530201342282,0.017753625766386245,0.00015607954551605376,0.017414842760030497,0.01805221251533184,0.012098041488644955,0.0005173652519556233,0.011014258233204939,0.013246128063774955,0.12966666666666668,0.05762442808951494,0.05,0.23,1.2961429119110108,0.8020645674195324,0.9646611213684082,4.085716009140015
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,0.8602989532294524,0.003674592911501573,0.8540540344934899,0.8690101396096142,0.2350965663081995,0.009086265592872783,0.21203814804214097,0.25478484670237295,0.32780836949628434,0.02127108309078069,0.2781954887218045,0.36363636363636365,0.019107050124769136,0.00016749959265637508,0.0187235075623387,0.01948379127893725,0.010599655298643386,0.0006936141208461687,0.0094822191950668,0.011854842905452963,0.096,0.020443361623831795,0.05,0.13,0.9368988911310832,0.6913387052536467,0.7021458148956299,3.6131227016448975
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,0.9078336505730822,0.002511770010447338,0.9020525291124766,0.9127277069717958,0.421069930540286,0.005283234609892118,0.41127401744145936,0.4310190942192208,0.4348214969810688,0.016849877639912535,0.37398373983739835,0.4578313253012048,0.01765321174354827,0.00018226091686625377,0.017298116233021802,0.017951390239055894,0.017275661411561827,0.0004114216848023097,0.01644625129854769,0.01809266937035721,0.021,0.038358562412384896,0.01,0.18,3.6664716402689614,1.3501162117350496,2.7760584354400635,6.06216835975647
O,BASE,LightGBM,0,0,13,,0.9202939352927412,0.002609849699016541,0.9151088144400779,0.9263919346317244,0.44566267358328254,0.004991604062472879,0.4379217670992684,0.45726978994912393,0.46434769460901304,0.01474352635714465,0.4293785310734463,0.4888888888888889,0.01677862892306717,9.413657149631324e-05,0.016555302982800873,0.016979926014455294,0.016076763880448475,0.00032808181545619246,0.015431016570561527,0.016760773145580887,0.07600000000000001,0.041071846217623796,0.01,0.21,3.039235234260559,1.2552060899923196,2.289780378341675,5.566715717315674
OF,GES,LightGBM,34,34,47,084da68000a6f7f1,0.9317333835127004,0.0018129181887195452,0.9278177041492064,0.9351817675199572,0.4894577311745573,0.004552009751146126,0.4782807025341766,0.4970214725460485,0.47633495460772474,0.021947547379806694,0.3888888888888889,0.5179856115107914,0.016529409710267718,0.00015541972987117469,0.016207244353259154,0.016776400626335314,0.016358617746711233,0.0004109204133060873,0.01565437608713471,0.01740438146939205,0.11233333333333334,0.12243741070534728,0.01,0.68,5.078689654668172,1.7492030708589652,3.766333818435669,9.751344203948975
OF,GOLEM,XGBoost,8,8,21,ec85353a21c9d2f4,0.940741363962047,0.0024602649854788246,0.9359344580266481,0.9456217295959355,0.47571569893687715,0.007589115488614157,0.46085598692791435,0.4951347068979053,0.45968598829874807,0.019819377537120885,0.417910447761194,0.4935064935064935,0.015766488761458128,0.00017038094186993603,0.015375130610640476,0.016195691189238363,0.010982235469148479,0.0006796537597149261,0.009607032809467965,0.012167948850388632,0.20566666666666666,0.07704380005189765,0.09,0.4,1.0611750602722168,0.5935036391752802,0.8406693935394287,3.570396900177002
OF,NOTEARS,XGBoost,8,8,21,95fb0edc87e00551,0.9407668758277786,0.0026341511849770904,0.935058731571748,0.9462550028587764,0.47090337691517153,0.008280037466600618,0.45331757546473017,0.48574246998853715,0.44279669399975125,0.015425341021565921,0.41711229946524064,0.48226950354609927,0.01594663492518314,0.0001660806684169345,0.01565204190617267,0.016316246444502882,0.011674792775767974,0.0007033653299314166,0.010401553668337964,0.01330072121172133,0.213,0.04698862665031569,0.11,0.32,1.1798141241073608,0.9364912320368661,0.8292725086212158,3.946895122528076
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,0.9429634293737471,0.0021626118668198933,0.9390899682277757,0.9478291392549811,0.4780273715883045,0.00694709066690867,0.46044570730721285,0.4916000196314662,0.44624649280581064,0.01856225334576435,0.41237113402061853,0.48226950354609927,0.01581542536113792,0.00017597015906626877,0.015501552799172164,0.01620747249827345,0.01118583252522473,0.0007710435913092996,0.009403656576081868,0.012655454214952877,0.16833333333333333,0.07750787872447432,0.07,0.38,1.0719934701919556,0.6115227601136353,0.8378200531005859,3.6504645347595215
