DAG_ID,DAG_TAG,SET,MODEL,MODEL_SEED,N_FEAT,THRESHOLD,TIME_SEC,AUROC,AUPRC,F1,Brier,ECE
52,ds052,OF,LightGBM,42,60,0.015,3.995917559,0.931816372,0.476975432,0.442396313,0.016164161,0.015250868
53,ds053,OF,LightGBM,42,60,0.125,4.040193319,0.938337278,0.474659662,0.503496503,0.016248637,0.014354663
54,ds054,OF,LightGBM,42,60,0.1275,4.033013344,0.9366003,0.472294591,0.47826087,0.016071596,0.014133814
55,ds055,OF,LightGBM,42,60,0.085,3.95386529,0.933535257,0.454031662,0.493333333,0.01652513,0.014838253
56,ds056,OF,LightGBM,42,60,0.0875,4.084915161,0.927318323,0.465515429,0.486486486,0.016485625,0.014293785
57,ds057,OF,LightGBM,42,60,0.04,4.008660555,0.934027401,0.473771427,0.475675676,0.016159075,0.015014242
58,ds058,OF,LightGBM,42,60,0.095,3.917318821,0.932554588,0.463333217,0.428571429,0.016503846,0.01440369
59,ds059,OF,LightGBM,42,60,0.03,4.087991476,0.935333753,0.475667307,0.47311828,0.016099864,0.014366411
60,ds060,OF,LightGBM,42,60,0.0225,3.918452263,0.936053875,0.483532199,0.44,0.016326443,0.014853554
61,ds061,OF,LightGBM,42,60,0.1625,3.934784651,0.934801804,0.470824853,0.484848485,0.01641917,0.014749436
62,ds062,OF,LightGBM,42,60,0.03,3.960502625,0.935731811,0.481701186,0.473684211,0.016092327,0.014396075
63,ds063,OF,LightGBM,42,60,0.05,4.020385981,0.935684767,0.480895757,0.479532164,0.016078498,0.01410933
64,ds064,OF,LightGBM,42,60,0.22,4.068350077,0.926149481,0.462794145,0.461538462,0.016351402,0.014592738
65,ds065,OF,LightGBM,42,60,0.185,3.951322317,0.93657135,0.462622591,0.481203008,0.016363361,0.014948584
66,ds066,OF,LightGBM,42,60,0.02,3.956442833,0.928313467,0.468692019,0.426540284,0.016281546,0.014845641
67,ds067,OF,LightGBM,42,60,0.055,4.005355597,0.938717242,0.469879676,0.488372093,0.016580419,0.015020501
68,ds068,OF,LightGBM,42,60,0.0825,4.041756392,0.931895984,0.473793969,0.463576159,0.016512204,0.014752099
69,ds069,OF,LightGBM,42,60,0.1,3.949251413,0.934302422,0.467886114,0.490066225,0.016223494,0.015542516
70,ds070,OF,LightGBM,42,60,0.1,4.007068396,0.932880272,0.479724875,0.473684211,0.015967663,0.013569032
71,ds071,OF,LightGBM,42,60,0.1025,3.975670815,0.936372321,0.459091238,0.489795918,0.016329894,0.01517487
72,ds072,OF,LightGBM,42,60,0.02,4.000141621,0.932786185,0.47318979,0.433497537,0.01630467,0.015615745
73,ds073,OF,LightGBM,42,60,0.1075,4.001764536,0.93500807,0.474023194,0.472972973,0.016331828,0.014025028
74,ds074,OF,LightGBM,42,60,0.0625,4.063583136,0.932373653,0.467348003,0.49689441,0.016282083,0.015788191
75,ds075,OF,LightGBM,42,60,0.045,3.991694927,0.931635437,0.4643617,0.465909091,0.016378289,0.015239292
76,ds076,OF,LightGBM,42,60,0.07,4.096059799,0.935033401,0.464661654,0.458598726,0.016223444,0.014323661
77,ds077,OF,LightGBM,42,60,0.0325,4.013968706,0.932731905,0.470728282,0.475675676,0.016399824,0.014662137
78,ds078,OF,LightGBM,42,60,0.0175,4.058354139,0.931867034,0.46707455,0.432692308,0.016420209,0.015581486
79,ds079,OF,LightGBM,42,60,0.1225,4.015470266,0.933444789,0.459300919,0.507042254,0.016346061,0.014936685
80,ds080,OF,LightGBM,42,60,0.0175,4.003469467,0.928682574,0.463815246,0.425925926,0.016259258,0.014363554
81,ds081,OF,LightGBM,42,60,0.03,3.93180418,0.932239761,0.469851286,0.5,0.016467105,0.015299822
82,ds082,OF,LightGBM,42,60,0.0475,4.099195004,0.932359178,0.467295952,0.465116279,0.016203609,0.013982689
83,ds083,OF,LightGBM,42,60,0.1375,3.942379236,0.928425646,0.462118766,0.461538462,0.01644371,0.015301466
84,ds084,OF,LightGBM,42,60,0.055,4.029085875,0.93104197,0.47439686,0.488095238,0.016108371,0.014340495
85,ds085,OF,LightGBM,42,60,0.105,3.965482712,0.930542589,0.454453037,0.5,0.016485494,0.014629058
86,ds086,OF,LightGBM,42,60,0.145,4.004892111,0.933672768,0.473118072,0.449275362,0.016091199,0.014859692
87,ds087,OF,LightGBM,42,60,0.07,3.985482693,0.934146818,0.46611929,0.460526316,0.016422924,0.014565813
88,ds088,OF,LightGBM,42,60,0.015,4.020970345,0.936075587,0.479632918,0.442477876,0.016054941,0.01403774
89,ds089,OF,LightGBM,42,60,0.0175,4.040215254,0.939842659,0.484091368,0.452830189,0.016453334,0.015327168
90,ds090,OF,LightGBM,42,60,0.06,3.981539011,0.925946834,0.478529476,0.490797546,0.016109699,0.014828624
91,ds091,OF,LightGBM,42,60,0.1575,3.941666126,0.934584681,0.475490462,0.492753623,0.016002314,0.014592425
92,ds092,OF,LightGBM,42,60,0.035,4.011261225,0.938474788,0.4680749,0.471204188,0.016512452,0.014664232
93,ds093,OF,LightGBM,42,60,0.035,4.004617929,0.928338798,0.475008662,0.464088398,0.016037699,0.015245131
94,ds094,OF,LightGBM,42,60,0.0175,4.008491039,0.932637818,0.470953756,0.448598131,0.016374183,0.015185252
95,ds095,OF,LightGBM,42,60,0.1225,3.940611124,0.932945408,0.465539464,0.496551724,0.016256321,0.014123263
96,ds096,OF,LightGBM,42,60,0.11,3.947047472,0.93327471,0.481625281,0.492957746,0.016156798,0.013927533
97,ds097,OF,LightGBM,42,60,0.1025,4.007591486,0.92788646,0.466392416,0.486842105,0.016217845,0.013536422
98,ds098,OF,LightGBM,42,60,0.0275,3.981261015,0.937164818,0.469672448,0.469387755,0.01616718,0.014689545
99,ds099,OF,LightGBM,42,60,0.05,4.049662113,0.933828372,0.458763679,0.482352941,0.016582864,0.015130333
