leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn,label,edge_PC__leverage_ratio__asset_turnover,edge_PC__leverage_ratio__capitalization_ratio,edge_PC__asset_liabilities__debt_ratio,edge_PC__asset_liabilities__cash_debt,edge_PC__asset_liabilities__rect_turn,edge_PC__asset_turnover__roe,edge_PC__asset_turnover__roa,edge_PC__asset_turnover__rect_turn,edge_PC__debt_ratio__leverage_ratio,edge_PC__debt_ratio__rect_turn,edge_PC__debt_ratio2__roa,edge_PC__debt_ratio2__capitalization_ratio,edge_PC__debt_ratio2__longtermdebt_invcap,edge_PC__debt_ratio2__totaldebt_invcap,edge_PC__debt_ratio2__cash_debt,edge_PC__debt_ratio2__debt_ebitda,edge_PC__debt_ratio2__rect_turn,edge_PC__roa__roe,edge_PC__roa__debt_ebitda,edge_PC__roa__rect_turn,edge_PC__longtermdebt_invcap__capitalization_ratio,edge_PC__longtermdebt_invcap__totaldebt_invcap,edge_PC__totaldebt_invcap__leverage_ratio,edge_PC__totaldebt_invcap__cash_debt
-0.092930523,-0.24361586,0.533682885,-0.962830235,0.226244522,-0.725005817,0.194903539,-1.302739991,-1.164911815,-0.381753956,0.146147804,-0.301903954,-0.221755116,0,0.014165952042024,0.0022103974538330642,0.05052962887789949,-0.004340758427819774,0.04186009648673664,0.06688454153516094,-0.09242948064472617,0.057796121913177755,-0.013027506864306551,-0.01805484355964349,-0.006562241120942456,0.1990833835714067,0.500323200809199,0.15709696082103286,0.010308057400304743,0.07516993939966424,0.018190134353299445,0.05697743085216909,0.007212293017497061,-0.00491094342939388,1.175933089455136,-0.045055367280684655,0.010159572845524984,0.003504498786426567
-0.479427638,0.194639261,-0.1319233,0.018314301,-0.139017134,-0.807130562,-0.145974626,-0.394523914,-0.389678441,-0.784630766,-1.109303572,-0.289932277,-0.109998105,0,-0.0013901161231264726,0.003453429899744192,0.024806257937838902,-0.026323802451584038,-0.016589628810990853,0.00031448838740959965,-0.0013167665544570057,-0.0005453193167336135,0.041296786095281236,0.005502949702641251,0.005471572161404624,0.06712014750813902,0.1863229159924799,0.35946107713033076,-0.08710382901902387,0.08036635409835495,0.010044995887009517,0.01054869511004252,-0.005187507938266444,0.0018244591044025806,0.11912736289536201,-0.030977163660122056,0.10772634394469928,-0.05467210785668661
0.080948651,-0.283520169,0.246678383,-0.458241616,0.34038879,-0.779755647,0.058552273,-0.190175296,-0.215250932,-0.652834635,-0.603375406,-0.310464706,-0.112147278,0,-0.005872754005950125,-0.0002810722445124292,0.08847522699896,0.02085639904770284,0.02463733419573188,0.014713580859145071,-0.013215370857487089,0.013911007850345788,0.017072995331088994,-0.013737445903796709,-0.002120280189034438,0.03125708016193257,0.09943051075019765,0.28893786652801995,-0.04577087087229682,0.08313897633673058,0.009893911772798285,0.007911789325059952,0.0022281315695096295,-0.0007461120506729754,0.031719837759114834,-0.014236989530174016,-0.015133741931530584,-0.02474234537016335
-1.28492681,1.532520021,-0.412821323,-0.598405121,-1.485919493,1.492362301,-0.964082223,1.249347186,1.013493966,-0.317353574,0.033719323,1.804442322,-0.168025784,0,0.12173385030398219,-0.029309997331557182,2.0876799214572186,0.006300177246644545,-0.19952765842057274,-0.032155123526325574,0.28415182157981056,0.027217395414891,1.1830375448607362,0.08984899416788902,-0.06681582149118433,0.39300057850148457,0.8960072797910652,-0.2688192773814925,-0.004895489903661525,0.9248071576700768,-0.02837075986547275,0.21800982111634887,0.21322686233690039,0.018406090952425822,0.9811516221654989,0.03258625855300771,0.1167764599340433,0.0006721594576508682
-0.953198295,0.418371295,-0.174668652,-1.074961039,-0.778225033,-0.85275542,-0.282325892,-1.039357329,-0.940094137,-0.862510298,-0.003756838,-0.300499455,-0.211009249,0,0.1622234551314775,0.018088492945797067,0.29848984010773416,-0.00019162497533916853,-0.06840445540743385,-0.02443995782023266,0.14948048595203986,0.061400166181479685,0.45963523131056155,0.05909472248966021,0.011180627157410885,0.1868207659286186,0.4749106771598625,0.41747600942309,-0.0003116664107689579,0.08800393369667504,0.02035854554439346,0.02701254727432247,-0.010398704437096978,0.006768988233435463,0.7571257952946397,-0.082149622343786,0.23544044341407336,-0.00020353393580921106
-0.219610741,-0.14072448,0.246678383,0.186510507,0.112100255,0.141866492,0.603957338,0.931471559,3.160890413,0.898765274,0.164885884,-0.133698553,-0.079909679,0,-0.006484769536690688,-0.003734886611264514,0.014462345434449329,-0.0028289214848629196,0.008713448268428712,-0.005988625498005058,0.055481811573948436,-0.004034391309155924,-0.015254045400813609,-0.0032236508355275514,0.003979028593012828,0.02785384829243646,0.2656472780313266,0.07237171427260478,-0.002275654624168669,-0.006513890368188736,-0.0012826258358930196,0.08160884240275393,0.009897324419127594,-0.005483744435923053,2.281449468459432,-0.2878231098539618,-0.0565240643917225,-0.009308502819691299
-0.802250689,0.310038853,0.21003951,-0.990862936,-0.527107644,-0.168382545,0.194903539,-0.58979037,-0.556353617,-0.163092193,0.352266687,-0.149281797,-0.163727437,0,0.1258523555647384,0.008638971099335426,0.1498228013933089,0.013315438129873097,-0.03933313868881664,0.027089896112859647,-0.09512055524989674,0.043914746271290946,0.2620198959726062,0.0310572349037996,-0.0015240799934822366,0.020932954215733435,0.055496307299194726,0.015587375144662689,0.005770476641283691,0.008632524740823778,0.003119171833219418,0.022424387203738936,0.0035662469731764885,-0.0036258743223162005,0.2542613853454162,-0.009192931548491561,0.03746940462029862,0.0036087335818217434
-0.38280336,-0.039488859,0.01463219,-1.018895637,-0.024872866,-0.85275542,-0.077798993,-1.012110846,-0.916837136,-0.721728067,0.127409724,-0.319560505,-0.19811421,0,0.06175087415160531,0.007073886138891574,-0.0009004568224049886,-0.0006134016286481489,0.0060619343794415725,0.0019405810848166602,0.039043140752887874,0.054641254338741486,0.0058996524507381725,0.001773305113209467,0.0030809839217829133,0.18192330796984463,0.4631618557823949,0.34933397780695313,0.010569881207585622,0.09358613144272089,0.019114409374901525,-0.0006235670663922284,-0.0030472768422164366,0.001751302473608971,0.7190384103495294,-0.06704026596810278,0.07911937664032762,0.005775987481356192
1.200142773,-0.632914082,-0.547163856,0.635033723,0.865452421,0.032366832,-0.00962336,-0.853173033,-0.781171295,1.679058278,0.146147804,-0.041001661,0.029698159,0,0.12066112474861236,-0.018694948765899822,0.5021696173843962,-0.011277291780294251,-0.014564490787979965,0.045227954832117695,-0.003009986789794473,0.00510506936845323,0.643577671631551,0.009249424982769523,-1.446498188411364e-05,-0.005820671509870919,-0.014978301593860453,0.030846700006156882,-0.000460188255457846,-0.00045575931349060156,0.00010875531468918949,0.0028843236864706753,-4.83629763099756e-05,-3.247340426079891e-05,0.5164344580893709,0.1328868431602763,0.5770749273464074,-0.015413743865932543
-1.058282764,-0.487884251,-0.687612867,-0.794634029,-0.960855861,-0.880130335,-0.555028425,-1.629697779,-1.44399583,-0.852026515,0.108671644,-0.26184231,-0.20456173,0,0.13313938554953197,0.03148930256111649,-0.42977140902633854,-0.0064639918606733265,0.07733252766912754,-0.0711219922530237,0.21723182598453744,0.04400143882022598,0.6300642282357322,0.0707334173457444,0.022685752161960542,0.30233598444514176,0.7528856681784148,0.42564040332532216,0.009304783446644678,0.07914449669636944,0.020370052365938363,0.20905428931813344,-0.017813115585260695,0.012900637493859517,1.8234960572736068,-0.12464905412002203,0.25821909472623633,0.00581593335117911
-1.462368169,1.456450148,-0.101390906,-0.794634029,-2.010983124,1.501487272,0.058552273,1.044998569,0.839066457,-0.327837357,0.183623965,0.401281566,-0.19811421,0,0.18397616033351002,-0.02790144310559813,2.6851374852200616,0.03260564151836893,-0.22357964873343053,-0.01048718483486298,-0.022916695085184385,0.04261457062732312,1.8221746824082243,0.1433725673739065,0.004082783791508679,0.3307296473919266,0.7463355281466417,-0.27939770914080947,-0.026822179157371926,0.20692109729276442,-0.033655655203237655,-0.003251940757812398,-0.0028799026368777065,-0.0013180471441362714,0.6794286739198477,0.02786921510791646,0.13729309209220433,0.003781271613031863
