METRIC,MEAN_O,STD_O,MEAN_OF,STD_OF,MEAN_DIFF(OF-O),STD_DIFF,T_STAT,T_P,WILCOXON_STAT,WILCOXON_P
AUPRC,0.44566278957779903,0.004991543806445646,0.48945604269141374,0.004551846343159245,0.04379325311361471,0.006621599353276261,36.22471145885921,1.0651492499650396e-25,0.0,1.862645149230957e-09
AUROC,0.9202940559162197,0.002609784230853076,0.9317330216422647,0.0018124908627817043,0.0114389657260448,0.003151959465233594,19.87772885974872,1.93855476924463e-18,0.0,1.862645149230957e-09
F1,0.46434769460901304,0.014743526357144661,0.47633495460772474,0.021947547379806698,0.011987259998711697,0.025560930355528408,2.5686438688463835,0.01562216890120875,90.0,0.002560090273618698
