METRIC,MEAN_O,STD_O,MEAN_OF,STD_OF,MEAN_DIFF(OF-O),STD_DIFF,T_STAT,T_P,WILCOXON_STAT,WILCOXON_P
AUPRC,0.4457195962206117,0.0060120994500255254,0.4908443076650011,0.003317603071647725,0.04512471144438936,0.008238491697584645,12.247620797420925,0.0002552027169815662,0.0,0.0625
AUROC,0.9212410708469939,0.0033645706276856585,0.9334773577668252,0.0014678943157391741,0.01223628691983123,0.003887974595511887,7.03738377728052,0.0021487923907128805,0.0,0.0625
F1,0.46554945008671933,0.01466611813198431,0.47898479427549195,0.01657634779855398,0.013435344188772647,0.02317526101848955,1.2963108757754316,0.26460046133001197,3.0,0.3125
