Feature Set,DAG Method,Best Model,K_EDGE,N_FEAT,AUROC_mean,AUROC_std,AUPRC_mean,AUPRC_std,F1_mean,F1_std,Brier_mean,Brier_std,ECE_mean,ECE_std,N_SEEDS
O,–,XGBoost,0,13,0.9359214306909556,0.002651277591410846,0.45463282428282914,0.00353695527535716,0.44273927125920254,0.020073590251121435,0.016087149208410662,0.00011995401469819898,0.01101439548882858,0.000440088097502704,20
F,GES,LightGBM,34,34,0.9277171041680237,0.0018493073434982395,0.4679821941524963,0.0037630338271536024,0.4527823454793178,0.0071914957370873564,0.01689873715108654,0.00022683710669054957,0.01683792702363528,0.00039289873671203424,5
F,GOLEM,LightGBM,25,25,0.8885692366705025,0.00482645974174103,0.3501697984457267,0.01234243333325978,0.3862948877052918,0.026907017598772846,0.01903388939005568,0.00030999538529972374,0.018803422503187,0.0007698250716019178,5
F,NOTEARS,XGBoost,6,6,0.8671580867186313,0.0025824766461858095,0.24657051342542152,0.005525000057441262,0.32014252219339295,0.022112749907561575,0.01907773504253444,6.109069991404874e-05,0.00969130243579592,0.0006507154713195264,5
F,PC,LightGBM,21,21,0.9063370750736406,0.0030321449674899476,0.42238799101106006,0.004210178806934206,0.4346452150643767,0.01183961984755996,0.017621800999976463,0.00014003727035584375,0.01737370305472844,0.00045403718479721374,5
OF,GES,LightGBM,34,47,0.9334773577668252,0.0014678943157391718,0.4908443076650011,0.003317603071647707,0.47898479427549195,0.01657634779855398,0.01657758247405124,0.00014052422542478878,0.0163154825461681,0.0003569262438497163,5
OF,GOLEM,XGBoost,7,20,0.9405005391869496,0.001612362041512632,0.4771829418476738,0.007542958086082402,0.4572283929520771,0.012890852658202957,0.015798027777529023,0.00013662580913218324,0.01184165941912966,0.0005744552601835588,5
OF,NOTEARS,LightGBM,5,18,0.9360611126792163,0.0010530118795113446,0.4827674978928943,0.004111515536558964,0.44714190195480336,0.020301117798536276,0.016413878384260817,9.872482467132016e-05,0.01598568692298278,0.00011864678455622012,5
OF,PC,XGBoost,11,24,0.9416426022826787,0.0017178092885837156,0.4784991936815207,0.006436267018251263,0.46940887686664523,0.00840786020755159,0.01576740122852488,0.00015651456037455827,0.01048472457686952,0.0008077564842867203,5
