Feature Set,DAG Method,MODEL,K_EDGE,N_FEAT,FEATURE_KEY,AUROC_mean,AUROC_std,AUROC_count,AUPRC_mean,AUPRC_std,AUPRC_count,F1_mean,F1_std,F1_count,Brier_mean,Brier_std,Brier_count,ECE_mean,ECE_std,ECE_count,DAG
O,–,XGBoost,0,13,d142655db65fda0d,0.9359214306909556,0.002889162773058431,5,0.45463282428282925,0.0038543076532762434,5,0.44273927125920254,0.0218746878346704,5,0.016087149208410662,0.0001307168569853607,5,0.01101439548882858,0.00047957488581733986,5,
F,GES,LightGBM,34,34,b154670abb75bb96,0.9277171041680237,0.0018493073434982233,5,0.4679821941524963,0.0037630338271536184,5,0.4527823454793178,0.007191495737087349,5,0.01689873715108654,0.0002268371066905496,5,0.01683792702363528,0.0003928987367120355,5,GES
OF,GES,LightGBM,34,47,084da68000a6f7f1,0.9334773577668252,0.0014678943157391741,5,0.4908443076650011,0.00331760307164772,5,0.47898479427549195,0.016576347798553985,5,0.01657758247405124,0.00014052422542478956,5,0.016315482546168096,0.00035692624384971676,5,GES
