SEED,AUROC,AUPRC,F1,Brier,ECE,THR
35,0.9397702846472848,0.4901411290074313,0.4247787610619469,0.016786213435510157,0.016821801874517896,0.39
42,0.9354242207120163,0.4891043688529791,0.44642857142857145,0.01683520152663674,0.01694850807883517,0.38
55,0.9342336669778752,0.485733980990485,0.464,0.017007964220360532,0.016805524525008858,0.13
64,0.9352143358591889,0.48585745971258604,0.45901639344262296,0.016786000171947497,0.01666532200495939,0.23
100,0.93533013439868,0.4914335365432981,0.5038167938931297,0.016573703205368866,0.016056127347057105,0.05
