SET,DAG,MODEL,K_EDGE,N_EDGE,N_FEAT,FEATURE_KEY,SEED,AUROC,AUPRC,F1,Brier,ECE,THR,TIME_SEC
O,BASE,LightGBM,0,0,13,,42,0.9237032372929196,0.4538263234172769,0.44776119402985076,0.016771974273599114,0.015522768707707633,0.11,3.996182918548584
O,BASE,LightGBM,0,0,13,,43,0.9201062451599828,0.4407270030294395,0.46715328467153283,0.01686219459085818,0.016332834780662917,0.11,2.3179068565368652
O,BASE,LightGBM,0,0,13,,44,0.9197081876804829,0.4409424899429443,0.4594594594594595,0.016802039428024978,0.016100044035620386,0.04,2.332371950149536
O,BASE,LightGBM,0,0,13,,45,0.9223498418626195,0.45481090112108985,0.4429530201342282,0.016776570515310455,0.016454288685511104,0.04,2.3600409030914307
O,BASE,LightGBM,0,0,13,,46,0.9226538130287831,0.4456506830959027,0.43478260869565216,0.01679103167466685,0.016760773145580887,0.1,5.557564735412598
O,BASE,LightGBM,0,0,13,,47,0.9228926475164833,0.4414394994396888,0.46258503401360546,0.016808944522010892,0.015727995866608037,0.05,2.3300390243530273
O,BASE,LightGBM,0,0,13,,48,0.9189229288345602,0.44315443638333707,0.4748201438848921,0.01670701275704036,0.015997778139116986,0.06,2.3997585773468018
O,BASE,LightGBM,0,0,13,,49,0.9218613167741422,0.4467553119916437,0.45161290322580644,0.016803408234296335,0.016294410448856253,0.02,2.355772018432617
O,BASE,LightGBM,0,0,13,,50,0.9214089787292558,0.43977195166789584,0.4489795918367347,0.01689772540455343,0.016235501015188145,0.04,2.401550769805908
O,BASE,LightGBM,0,0,13,,51,0.9199216912376692,0.4460970272102045,0.4788732394366197,0.016645599942828115,0.016158016655194642,0.06,5.106244325637817
O,BASE,LightGBM,0,0,13,,52,0.9201677631340875,0.4515246399453794,0.4888888888888889,0.01669247714893041,0.0158090760116853,0.1,2.289780378341675
O,BASE,LightGBM,0,0,13,,53,0.9151088144400779,0.4492184555487583,0.46511627906976744,0.016724250639563478,0.01586202163521746,0.13,2.3867580890655518
O,BASE,LightGBM,0,0,13,,54,0.9194584970797056,0.4395058207924063,0.48854961832061067,0.01683336131456745,0.016163923768476897,0.14,2.3218941688537598
O,BASE,LightGBM,0,0,13,,55,0.9163355552178098,0.44749621161092024,0.4852941176470588,0.016555302982800873,0.01548241342061137,0.07,5.533161878585815
O,BASE,LightGBM,0,0,13,,56,0.9219952088354286,0.43999722224087817,0.45528455284552843,0.016827622662230625,0.016372192757671614,0.21,2.3202555179595947
O,BASE,LightGBM,0,0,13,,57,0.9219192160438876,0.4379217670992684,0.45517241379310347,0.016776506876045226,0.015431016570561527,0.06,2.316380500793457
O,BASE,LightGBM,0,0,13,,58,0.9216224822864422,0.4442374621286966,0.46153846153846156,0.01681847639202252,0.015933720505806527,0.06,2.3438923358917236
