SET,DAG,MODEL,K_EDGE,N_EDGE,N_FEAT,FEATURE_KEY,SEED,AUROC,AUPRC,F1,Brier,ECE,THR,TIME_SEC
O,BASE,LightGBM,0,0,13,,59,0.9240035897547242,0.44513554014222684,0.4696969696969697,0.016862245706783057,0.016608972280154725,0.11,2.3676044940948486
O,BASE,LightGBM,0,0,13,,60,0.9215030650425922,0.44430604031248716,0.463768115942029,0.016668083538111625,0.015952034137448418,0.08,5.519129276275635
O,BASE,LightGBM,0,0,13,,61,0.9159555912601052,0.4454648757064715,0.48484848484848486,0.016979926014455294,0.016478142951883584,0.12,2.3251242637634277
O,BASE,LightGBM,0,0,13,,62,0.9263919346317244,0.4484739603574442,0.4594594594594595,0.016763183842939816,0.016057026619158477,0.04,2.357646942138672
O,BASE,LightGBM,0,0,13,,63,0.9203667918738375,0.45064879857662243,0.4788732394366197,0.016733455305301192,0.01575520159127826,0.06,2.366813898086548
O,BASE,LightGBM,0,0,13,,64,0.920348698352042,0.44067495263972406,0.4748201438848921,0.016853946445793487,0.01606478008311195,0.07,5.566715717315674
O,BASE,LightGBM,0,0,13,,65,0.9199253099420283,0.44530262519402086,0.4689655172413793,0.01677879641821675,0.015675683132532373,0.05,2.332573652267456
O,BASE,LightGBM,0,0,13,,66,0.9161220516606234,0.44106780368092796,0.4594594594594595,0.016733693306740165,0.01611272283575193,0.05,2.371084451675415
O,BASE,LightGBM,0,0,13,,67,0.9212787053723284,0.4458617243369902,0.4714285714285714,0.016680651783294635,0.016126271950192936,0.07,3.0993058681488037
O,BASE,LightGBM,0,0,13,,68,0.9173922168906645,0.45128244015369984,0.4647887323943662,0.0166412498308871,0.01592906772539497,0.07,5.221001625061035
O,BASE,LightGBM,0,0,13,,69,0.9198927416027965,0.4414342231399317,0.4689655172413793,0.016854054585605523,0.016334674364495982,0.05,2.35022234916687
O,BASE,LightGBM,0,0,13,,70,0.9185936267378828,0.45726978994912393,0.46715328467153283,0.016741025787445463,0.01639511912274821,0.1,2.3035950660705566
O,BASE,LightGBM,0,0,13,,71,0.9169073105065462,0.449880226643074,0.4293785310734463,0.016974055767091677,0.01617444346922479,0.01,2.3266844749450684
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,42,0.9080161538962589,0.4242496923180013,0.43209876543209874,0.017473050813120908,0.017247776021193543,0.01,2.8401455879211426
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,43,0.9097169449450319,0.4286644668099489,0.4378698224852071,0.017368576673735196,0.01682255832862633,0.01,6.015149354934692
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,44,0.9046978019989723,0.41772744931893074,0.43902439024390244,0.01760955474390921,0.01702234562604422,0.01,2.8134050369262695
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,45,0.9071078591021271,0.4158181435495841,0.41916167664670656,0.017937163807404163,0.01756127828127791,0.01,2.8620870113372803
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,46,0.9064818232480043,0.4217328007520931,0.43373493975903615,0.017951390239055894,0.017440922008650158,0.01,4.1654393672943115
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,47,0.9071874705980271,0.41127401744145936,0.4268292682926829,0.017906672407185208,0.01749648554858946,0.01,4.304455041885376
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,48,0.9127277069717958,0.4270701274563086,0.43636363636363634,0.017710075588325956,0.016766172118147495,0.01,2.862025499343872
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,49,0.9050307228000087,0.4249485261009766,0.45751633986928103,0.01766571615119621,0.017759766313700104,0.02,2.841972589492798
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,50,0.9103248872773592,0.41527320520385597,0.42424242424242425,0.01780291173545667,0.01703204039794485,0.01,6.055637359619141
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,51,0.9059281614810633,0.42442670598083243,0.4578313253012048,0.017491781729256365,0.016688121095481227,0.01,2.815345525741577
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,52,0.9103791678427456,0.4253905080837886,0.42758620689655175,0.01763288251036901,0.017649533538806984,0.03,2.8442671298980713
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,53,0.9087905566291046,0.4140038610457524,0.43373493975903615,0.017899987204789806,0.017320112673488264,0.01,2.8456273078918457
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,54,0.9122826063356276,0.4266924773218682,0.43636363636363634,0.01744024438383208,0.017085294182126738,0.01,6.06216835975647
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,55,0.9100028225894001,0.41182520892690916,0.42857142857142855,0.017764296444771618,0.017612039318823783,0.01,2.8870456218719482
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,56,0.9071657583718725,0.4298977187855705,0.4260355029585799,0.017298116233021802,0.01644625129854769,0.01,2.8941314220428467
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,57,0.9053093630356587,0.4310190942192208,0.40350877192982454,0.017443433492076086,0.017030982527429954,0.18,2.831787586212158
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,58,0.9088448371944909,0.42262704752771024,0.45121951219512196,0.01759039354252103,0.017579012626287444,0.01,6.002432346343994
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,59,0.9068581685013498,0.42156672149044533,0.44171779141104295,0.017631280918274966,0.017005883055411817,0.01,2.839156150817871
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,60,0.905320219148736,0.41995310314770673,0.44171779141104295,0.01767937778423464,0.016965157433154698,0.01,2.8477871417999268
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,61,0.9077845568172771,0.4152179644528298,0.4550898203592814,0.01774747234605878,0.01711530335625934,0.01,5.831031799316406
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,62,0.9020525291124766,0.4201219268748536,0.4268292682926829,0.017428378104430632,0.01766185475843136,0.01,2.7994909286499023
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,63,0.9049113055561587,0.42345559047301945,0.43636363636363634,0.01735417640359656,0.016810578283463766,0.01,2.9065170288085938
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,64,0.9074263050857272,0.4157124594793918,0.37398373983739835,0.01780359861562786,0.01758361421264206,0.14,2.828644037246704
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,65,0.9083273624711409,0.4186612418605787,0.45121951219512196,0.017787699936181577,0.01734735065810212,0.01,5.99967885017395
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,66,0.9102597505988956,0.4186048712661597,0.43478260869565216,0.01783922173301381,0.01809266937035721,0.01,2.7760584354400635
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,67,0.9100896714940183,0.4226529567265193,0.44047619047619047,0.017666349200781545,0.018016094308528772,0.01,2.8142502307891846
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,68,0.904448111398195,0.42187791584873124,0.4523809523809524,0.017528121990193143,0.016768121524309395,0.01,2.7832939624786377
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,69,0.9091126213170637,0.4163662259105772,0.42424242424242425,0.01761213265801168,0.017112160536442426,0.01,5.953670024871826
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,70,0.9072272763459771,0.4266648725784953,0.44970414201183434,0.01778777453096807,0.017441302454872513,0.01,2.8344056606292725
F,PC,LightGBM,22,22,22,53a85c01fe6d0b7e,71,0.9111969950279002,0.4186010152564624,0.4444444444444444,0.0177445203850476,0.01778906048971314,0.01,2.837042808532715
F,GES,LightGBM,34,34,34,b154670abb75bb96,42,0.9282591860810155,0.47268564022108855,0.4520547945205479,0.01672743418631563,0.01631296143328403,0.02,6.3485448360443115
F,GES,LightGBM,34,34,34,b154670abb75bb96,43,0.9278900782363884,0.4578967443868839,0.43312101910828027,0.016836172864743135,0.016192998480038787,0.01,3.3859922885894775
F,GES,LightGBM,34,34,34,b154670abb75bb96,44,0.9290842506748884,0.4694730471516149,0.44025157232704404,0.01696297021849658,0.016861477955190055,0.01,3.3591487407684326
F,GES,LightGBM,34,34,34,b154670abb75bb96,45,0.9268225604504563,0.46607892925174477,0.4892086330935252,0.016759116343431538,0.01615553701892218,0.03,3.379986524581909
F,GES,LightGBM,34,34,34,b154670abb75bb96,46,0.9264100281535199,0.4652235179569791,0.445859872611465,0.016876920716045046,0.016687729420188514,0.01,6.2686357498168945
F,GES,LightGBM,34,34,34,b154670abb75bb96,47,0.9251181506973244,0.4636144712196623,0.4358974358974359,0.016987666564668994,0.01699402857286265,0.01,3.3168225288391113
F,GES,LightGBM,34,34,34,b154670abb75bb96,48,0.9295691570590066,0.45853004840026595,0.43312101910828027,0.01679382908892577,0.016814522195304767,0.01,3.3586807250976562
F,GES,LightGBM,34,34,34,b154670abb75bb96,49,0.9253533664806652,0.4622072924657182,0.4429530201342282,0.01681236870330372,0.016451123123277168,0.02,6.534149646759033
F,GES,LightGBM,34,34,34,b154670abb75bb96,50,0.9246875248785925,0.46279782973329947,0.43870967741935485,0.017008755098306717,0.01733315104889724,0.01,3.370461940765381
F,GES,LightGBM,34,34,34,b154670abb75bb96,51,0.9241809062683197,0.4627600916755363,0.4358974358974359,0.017052068550295837,0.016783275631986224,0.01,3.3194518089294434
F,GES,LightGBM,34,34,34,b154670abb75bb96,52,0.9253207981414335,0.4643675884486521,0.43870967741935485,0.01668996690388926,0.01658284766718548,0.01,6.5560503005981445
F,GES,LightGBM,34,34,34,b154670abb75bb96,53,0.9271156755035428,0.4530240281909847,0.4358974358974359,0.016801531081338607,0.016685912100890272,0.01,3.3550667762756348
F,GES,LightGBM,34,34,34,b154670abb75bb96,54,0.9276657185661247,0.45620621741609374,0.425,0.01727865700151859,0.01676993359399309,0.01,3.3430845737457275
F,GES,LightGBM,34,34,34,b154670abb75bb96,55,0.9286789557866701,0.4653401013354112,0.46153846153846156,0.017258707573676306,0.017199513772042957,0.02,6.55823016166687
F,GES,LightGBM,34,34,34,b154670abb75bb96,56,0.9303725094267248,0.46434330614504365,0.46153846153846156,0.017129287235331834,0.017084307586005834,0.01,3.3757381439208984
F,GES,LightGBM,34,34,34,b154670abb75bb96,57,0.9306294374362203,0.4654396818894524,0.4430379746835443,0.01680823843050864,0.017028838707678413,0.01,3.396462917327881
F,GES,LightGBM,34,34,34,b154670abb75bb96,58,0.9274630711220154,0.4619171214227899,0.445859872611465,0.01687670566398895,0.016465450336707193,0.01,6.573615312576294
F,GES,LightGBM,34,34,34,b154670abb75bb96,59,0.9287983730305202,0.4647467861069867,0.44155844155844154,0.016893675139143433,0.016980028293410936,0.01,3.3478970527648926
F,GES,LightGBM,34,34,34,b154670abb75bb96,60,0.9285378263166655,0.4664405162818003,0.4444444444444444,0.01672426149246862,0.017114038357934958,0.01,3.343482494354248
F,GES,LightGBM,34,34,34,b154670abb75bb96,61,0.9314689768475295,0.4653095701126966,0.44155844155844154,0.016878083429150374,0.016588372916024014,0.01,6.538750171661377
F,GES,LightGBM,34,34,34,b154670abb75bb96,62,0.9249299780706516,0.4673464334958954,0.4714285714285714,0.016770241461481965,0.016470011692250514,0.03,3.3509979248046875
F,GES,LightGBM,34,34,34,b154670abb75bb96,63,0.9313748905341932,0.45786542737061126,0.4460431654676259,0.017038155959235378,0.016995245886550173,0.03,3.3476974964141846
F,GES,LightGBM,34,34,34,b154670abb75bb96,64,0.9282917544202474,0.4651847951019739,0.445859872611465,0.01689612201816042,0.016860497169501432,0.01,6.5592851638793945
F,GES,LightGBM,34,34,34,b154670abb75bb96,65,0.9298767469295294,0.4632556386233826,0.43037974683544306,0.017014571496282962,0.016485955286118674,0.01,3.3870246410369873
F,GES,LightGBM,34,34,34,b154670abb75bb96,66,0.9269564525117426,0.4624812904105744,0.46258503401360546,0.017221657584804713,0.017040921889922293,0.02,3.3626914024353027
F,GES,LightGBM,34,34,34,b154670abb75bb96,67,0.9303037540439021,0.46448924248630696,0.44025157232704404,0.016787647602029714,0.01680628221461152,0.01,3.416344165802002
F,GES,LightGBM,34,34,34,b154670abb75bb96,68,0.9261386253265881,0.4688347601010276,0.43870967741935485,0.016754746492773517,0.016283629318811128,0.01,6.1066083908081055
F,GES,LightGBM,34,34,34,b154670abb75bb96,69,0.9263014670227472,0.4658283244336759,0.44594594594594594,0.016765516790613857,0.016611227166667165,0.02,3.339078903198242
F,GES,LightGBM,34,34,34,b154670abb75bb96,70,0.9294425024064384,0.46669555300823373,0.45569620253164556,0.01697810637885326,0.0163886472862122,0.01,3.3859474658966064
F,GES,LightGBM,34,34,34,b154670abb75bb96,71,0.9296451498505476,0.4634713252304249,0.4444444444444444,0.016952089531595712,0.016655596772112802,0.02,6.569448471069336
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,42,0.8639837592548364,0.24124080731312825,0.29045643153526973,0.018949112027146907,0.011371841000276908,0.07,1.020580530166626
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,43,0.8594060982405859,0.23883707419416364,0.33879781420765026,0.01894183311578233,0.010464286039041048,0.12,0.7529990673065186
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,44,0.8593518176751995,0.23617341365928432,0.3140495867768595,0.019024152458868678,0.01124543265218521,0.07,0.748248815536499
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,45,0.8563880988051037,0.22873907873863109,0.34146341463414637,0.01921148198483645,0.01077911838199678,0.09,0.7110087871551514
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,46,0.8607992994188362,0.22296700806159586,0.3422459893048128,0.0193310415836193,0.011854842905452963,0.11,0.7414593696594238
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,47,0.8627208314335135,0.24619721454274365,0.3142857142857143,0.018846332098501447,0.01129198760660727,0.09,0.7457234859466553
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,48,0.8614542849078317,0.23819513250704485,0.3411764705882353,0.018960737470485763,0.009602825391281532,0.13,0.7337644100189209
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,49,0.8584688538115813,0.23089565530346529,0.32075471698113206,0.01910735904176641,0.009838626988186312,0.09,0.7135639190673828
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,50,0.8596015082759769,0.22807311445481887,0.2781954887218045,0.01926537280340746,0.010094163991429633,0.06,0.7472562789916992
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,51,0.8626918817986408,0.24438228581972082,0.32608695652173914,0.018999445314874634,0.011495468689418798,0.11,0.7593379020690918
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,52,0.8635603708448228,0.24357873040962258,0.3384615384615385,0.01902074963976047,0.010382575819230808,0.1,3.6131227016448975
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,53,0.8656736941905321,0.24951866377999624,0.3434343434343434,0.018949969687077944,0.01023941735565446,0.1,0.741905689239502
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,54,0.8637883492194456,0.22961834415590726,0.34782608695652173,0.019198120745624218,0.010066333171402007,0.11,0.7527837753295898
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,55,0.8576763575569403,0.2324672395009072,0.3192488262910798,0.019087523425003184,0.010492195235187777,0.09,0.7083044052124023
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,56,0.8590623213264723,0.22743913436375768,0.301255230125523,0.019206549433910133,0.010852070490920511,0.07,0.773090124130249
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,57,0.8581178394887494,0.21203814804214097,0.3285024154589372,0.01948379127893725,0.010915841614613496,0.09,0.7415359020233154
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,58,0.8607341627403724,0.24531941186423328,0.358695652173913,0.019153226084303393,0.011813730084766114,0.11,0.7044446468353271
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,59,0.8637630182889319,0.22689631112658282,0.3372093023255814,0.019234441779386886,0.01020911875484745,0.13,0.7021458148956299
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,60,0.8631007953912181,0.25478484670237295,0.34594594594594597,0.0187235075623387,0.010387495218164053,0.11,0.7370197772979736
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,61,0.8540540344934899,0.23079198479537713,0.3473684210526316,0.019106804408810223,0.009677910730753043,0.11,0.7057247161865234
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,62,0.8554291421499447,0.24361680662164395,0.3269230769230769,0.019035317371775398,0.0094822191950668,0.09,0.7045364379882812
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,63,0.8661115574179821,0.24231993510170044,0.36363636363636365,0.019230285329257905,0.010134097405334143,0.1,0.7466962337493896
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,64,0.8582083070977267,0.2283630716568558,0.3225806451612903,0.019264572835864104,0.010733205330919246,0.08,0.7474575042724609
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,65,0.8550274659660855,0.22760902043937348,0.3063063063063063,0.019295635558037327,0.011387731953632624,0.09,0.7196910381317139
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,66,0.8690101396096142,0.23834894848825305,0.3468208092485549,0.01896708743594951,0.009496563292314944,0.13,3.3068881034851074
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,67,0.8594929471452041,0.23981786497513996,0.3412322274881517,0.018959778779639457,0.010344457782925776,0.09,1.0388600826263428
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,68,0.8551034587576264,0.23674735076571993,0.33175355450236965,0.018971640160531242,0.010140112590024947,0.09,0.7749745845794678
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,69,0.8551432645055763,0.22562842906431468,0.3333333333333333,0.01931735011496679,0.011046021003020953,0.12,0.7479715347290039
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,70,0.8601877383821496,0.2310026447853459,0.29955947136563876,0.01926437819662402,0.011705936486750782,0.08,0.74359130859375
F,NOTEARS,XGBoost,12,12,12,35c436b9acad27fc,71,0.8608571986885816,0.23128931801214309,0.28664495114006516,0.019103906015986563,0.010444031797895178,0.05,0.7222797870635986
F,GOLEM,XGBoost,25,25,25,710761342f601788,42,0.884903489154743,0.34890770528451465,0.41025641025641024,0.017414842760030497,0.011969577400472048,0.16,0.9876980781555176
F,GOLEM,XGBoost,25,25,25,710761342f601788,43,0.8786177996830016,0.32553385934984375,0.3918918918918919,0.01805221251533184,0.012128818801859112,0.19,1.0084121227264404
F,GOLEM,XGBoost,25,25,25,710761342f601788,44,0.8834921944546974,0.32872520217897305,0.4195804195804196,0.01797021065409507,0.012024822208779398,0.23,1.0030522346496582
F,GOLEM,XGBoost,25,25,25,710761342f601788,45,0.8841725108742067,0.3516921888049981,0.4,0.017500225268326414,0.012158072216728917,0.17,0.9993782043457031
F,GOLEM,XGBoost,25,25,25,710761342f601788,46,0.885214697729625,0.34312757380404524,0.3930635838150289,0.017653526054634154,0.012616436739876833,0.11,1.000459909439087
F,GOLEM,XGBoost,25,25,25,710761342f601788,47,0.8824789572341518,0.3402012082766931,0.4,0.017645460922479213,0.012120410015633153,0.09,0.9987344741821289
F,GOLEM,XGBoost,25,25,25,710761342f601788,48,0.8773440157486014,0.33454176687108506,0.40816326530612246,0.018000967054291172,0.013246128063774955,0.08,3.7233190536499023
F,GOLEM,XGBoost,25,25,25,710761342f601788,49,0.8830253815923746,0.3415857723523814,0.38857142857142857,0.017760191176435475,0.012357696851581097,0.12,1.1597416400909424
F,GOLEM,XGBoost,25,25,25,710761342f601788,50,0.8826309428172338,0.3366020367519355,0.36649214659685864,0.01783899895896109,0.011980661024608454,0.09,0.9947333335876465
F,GOLEM,XGBoost,25,25,25,710761342f601788,51,0.8865355248206931,0.35556494380523546,0.3891891891891892,0.017582354520499662,0.01101970366972452,0.09,1.0051350593566895
F,GOLEM,XGBoost,25,25,25,710761342f601788,52,0.8871326110399432,0.3298589973861634,0.3644859813084112,0.018040973640854083,0.012745475481522838,0.06,0.9981734752655029
F,GOLEM,XGBoost,25,25,25,710761342f601788,53,0.884624848919093,0.3439419970643126,0.40229885057471265,0.017867596753957302,0.011925685226236151,0.12,1.0015084743499756
F,GOLEM,XGBoost,25,25,25,710761342f601788,54,0.8872122225358433,0.34740720448080264,0.4429530201342282,0.017634429074033897,0.013007816216466557,0.2,0.9991989135742188
F,GOLEM,XGBoost,25,25,25,710761342f601788,55,0.8853703020170659,0.33659191897567364,0.3474576271186441,0.017807257122426173,0.011560673739262258,0.05,1.0183770656585693
F,GOLEM,XGBoost,25,25,25,710761342f601788,56,0.8855729494611749,0.3433966485090113,0.422360248447205,0.017769826832901688,0.011809285750171554,0.15,0.9652020931243896
F,GOLEM,XGBoost,25,25,25,710761342f601788,57,0.8852110790252657,0.335635473207526,0.4084507042253521,0.017909032023076518,0.011854401899284014,0.21,0.9646611213684082
F,GOLEM,XGBoost,25,25,25,710761342f601788,58,0.8919273943157392,0.3464851395781944,0.4305555555555556,0.017624715650255744,0.01242076385108067,0.21,0.9649684429168701
F,GOLEM,XGBoost,25,25,25,710761342f601788,59,0.8913013584616164,0.33983400427359184,0.38341968911917096,0.01761370071369588,0.012221493363744422,0.08,4.085716009140015
F,GOLEM,XGBoost,25,25,25,710761342f601788,60,0.8847695970934567,0.34350767393051634,0.39263803680981596,0.01771718846264252,0.012132705079413995,0.16,0.9903371334075928
F,GOLEM,XGBoost,25,25,25,710761342f601788,61,0.8876537044676523,0.3392019985067169,0.3659574468085106,0.017723072703692486,0.011014258233204939,0.05,1.0014567375183105
F,GOLEM,XGBoost,25,25,25,710761342f601788,62,0.8885439057399889,0.342077045272784,0.3562753036437247,0.01773372382692195,0.011625424242764087,0.05,1.0412163734436035
F,GOLEM,XGBoost,25,25,25,710761342f601788,63,0.8891590854810344,0.32626095160792845,0.4305555555555556,0.01777403499439097,0.012457757983341094,0.21,1.0771174430847168
F,GOLEM,XGBoost,25,25,25,710761342f601788,64,0.8863618270114567,0.3398276827138223,0.4,0.01764661128693102,0.011645494042855373,0.19,0.9980103969573975
F,GOLEM,XGBoost,25,25,25,710761342f601788,65,0.8835826620636748,0.3460017219068614,0.4198895027624309,0.017868036841463555,0.012117099211917582,0.1,1.0025832653045654
F,GOLEM,XGBoost,25,25,25,710761342f601788,66,0.8814693387179655,0.3502702932151707,0.41975308641975306,0.017642443986446855,0.011748416369600206,0.15,1.003957748413086
F,GOLEM,XGBoost,25,25,25,710761342f601788,67,0.8858407335837477,0.3463245534849433,0.34285714285714286,0.01770014548368554,0.013136552813389232,0.05,0.994978666305542
F,GOLEM,XGBoost,25,25,25,710761342f601788,68,0.8838395900731703,0.34907703875636814,0.41333333333333333,0.017858538244713052,0.011820133534505615,0.17,0.9891653060913086
F,GOLEM,XGBoost,25,25,25,710761342f601788,69,0.8811508927343654,0.3469211950882297,0.41975308641975306,0.01760691830700458,0.011896458672875627,0.14,2.2742040157318115
F,GOLEM,XGBoost,25,25,25,710761342f601788,70,0.8873859203450796,0.3335698019343286,0.4050632911392405,0.017905841421846945,0.011978511974009301,0.16,2.6393423080444336
F,GOLEM,XGBoost,25,25,25,710761342f601788,71,0.8858624458099023,0.34439311186326965,0.35443037974683544,0.017745695735562072,0.012200509980664614,0.05,0.9934482574462891
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,42,0.9478291392549811,0.48359584565512287,0.47435897435897434,0.015667718540238056,0.010416202762403447,0.17,0.863126277923584
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,43,0.9428570394655897,0.48693357680739113,0.4321608040201005,0.01556498272807845,0.010868878921140834,0.09,0.8378200531005859
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,44,0.9426182049778897,0.46044570730721285,0.4603174603174603,0.01620747249827345,0.011898264872638713,0.38,0.8814036846160889
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,45,0.9451440606205355,0.48005767666743354,0.43243243243243246,0.015853696241993884,0.010243731578796385,0.11,0.8823027610778809
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,46,0.9432297660145761,0.4666043240217828,0.42528735632183906,0.0159980595391938,0.011581725368538163,0.14,0.8873240947723389
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,47,0.9421984352722351,0.47753596123025616,0.46258503401360546,0.01576402452598818,0.010395599849395058,0.23,0.8823587894439697
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,48,0.943939032068958,0.4830398621330298,0.46153846153846156,0.015675021511467106,0.012285285101053199,0.26,0.8806226253509521
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,49,0.9470076933654674,0.4878321525288989,0.48226950354609927,0.015702938559919572,0.0110427642204409,0.25,0.8493528366088867
OF,PC,XGBoost,8,8,21,6c77d017e3138a39,50,0.9452490030469491,0.48582985588339733,0.47058823529411764,0.01566042335161515,0.010263006578126406,0.21,0.8485233783721924
