Feature Set,DAG Method,Best Model,K_EDGE,N_FEAT,AUROC (Mean ± SD),AUPRC (Mean ± SD),F1-Score (Mean ± SD),Brier (Mean ± SD),ECE (Mean ± SD)
O,–,XGBoost,0,13,0.936 ± 0.003,0.455 ± 0.004,0.443 ± 0.020,0.01609 ± 0.00012,0.01101 ± 0.00044
F,GES,LightGBM,34,34,0.928 ± 0.002,0.468 ± 0.004,0.453 ± 0.007,0.01690 ± 0.00023,0.01684 ± 0.00039
F,GOLEM,LightGBM,25,25,0.889 ± 0.005,0.350 ± 0.012,0.386 ± 0.027,0.01903 ± 0.00031,0.01880 ± 0.00077
F,NOTEARS,XGBoost,6,6,0.867 ± 0.003,0.247 ± 0.006,0.320 ± 0.022,0.01908 ± 0.00006,0.00969 ± 0.00065
F,PC,LightGBM,21,21,0.906 ± 0.003,0.422 ± 0.004,0.435 ± 0.012,0.01762 ± 0.00014,0.01737 ± 0.00045
OF,GES,LightGBM,34,47,0.933 ± 0.001,0.491 ± 0.003,0.479 ± 0.017,0.01658 ± 0.00014,0.01632 ± 0.00036
OF,GOLEM,XGBoost,7,20,0.941 ± 0.002,0.477 ± 0.008,0.457 ± 0.013,0.01580 ± 0.00014,0.01184 ± 0.00057
OF,NOTEARS,LightGBM,5,18,0.936 ± 0.001,0.483 ± 0.004,0.447 ± 0.020,0.01641 ± 0.00010,0.01599 ± 0.00012
OF,PC,XGBoost,11,24,0.942 ± 0.002,0.478 ± 0.006,0.469 ± 0.008,0.01577 ± 0.00016,0.01048 ± 0.00081
