leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn,label,edge_GES__asset_liabilities__leverage_ratio,edge_GES__asset_liabilities__roe,edge_GES__asset_liabilities__debt_ratio,edge_GES__asset_liabilities__rect_turn,edge_GES__asset_turnover__leverage_ratio,edge_GES__asset_turnover__roe,edge_GES__asset_turnover__capitalization_ratio,edge_GES__asset_turnover__totaldebt_invcap,edge_GES__asset_turnover__rect_turn,edge_GES__debt_ratio__leverage_ratio,edge_GES__debt_ratio__roe,edge_GES__debt_ratio__roa,edge_GES__debt_ratio__capitalization_ratio,edge_GES__debt_ratio__rect_turn,edge_GES__debt_ratio2__leverage_ratio,edge_GES__debt_ratio2__asset_liabilities,edge_GES__debt_ratio2__debt_ratio,edge_GES__debt_ratio2__roa,edge_GES__debt_ratio2__capitalization_ratio,edge_GES__debt_ratio2__longtermdebt_invcap,edge_GES__debt_ratio2__totaldebt_invcap,edge_GES__roa__leverage_ratio,edge_GES__roa__roe,edge_GES__roa__asset_turnover,edge_GES__roa__totaldebt_invcap,edge_GES__roa__rect_turn,edge_GES__cash_debt__asset_liabilities,edge_GES__cash_debt__debt_ratio,edge_GES__cash_debt__debt_ratio2,edge_GES__cash_debt__longtermdebt_invcap,edge_GES__cash_debt__totaldebt_invcap,edge_GES__cash_debt__rect_turn,edge_GES__debt_ebitda__roe,edge_GES__debt_ebitda__debt_ratio2,edge_GES__debt_ebitda__roa
-0.092930523,-0.24361586,0.533682885,-0.962830235,0.226244522,-0.725005817,0.194903539,-1.302739991,-1.164911815,-0.381753956,0.146147804,-0.301903954,-0.221755116,0,0.017754902606204187,0.012382130302049231,0.050699262282994616,0.042775394162246405,0.015156229313362475,0.07110429704932986,-0.15837697974592002,0.09473653622784052,0.06092975943572793,-0.029660623461695935,0.008402905851735169,-0.011117851018575872,-0.042823638637006396,-0.019418211945513117,0.006403575942030727,0.0017796691845519035,-0.008920030830761101,-0.02716272997730094,0.6496101172270898,0.5031456436612471,0.14062395535835404,0.0028061225803934736,0.06224282987810385,-0.09403067573784736,0.018922731261207228,-0.00533564398472082,-0.005007503286538645,0.0008392745986036428,0.011961617261467923,-0.004323513544875326,0.0039234201925839,-0.0005800175733518236,-0.009679710170293447,0.07005205595375616,0.007289761970882435
-0.479427638,0.194639261,-0.1319233,0.018314301,-0.139017134,-0.807130562,-0.145974626,-0.394523914,-0.389678441,-0.784630766,-1.109303572,-0.289932277,-0.109998105,0,-0.0731826056019843,0.002445448321427902,0.02488953521683558,-0.016952371612911556,-0.0014872928181463025,0.0003343295057974131,0.0009123222623839423,-0.003703735096312273,-0.0005748858865331393,0.09402324138522244,0.0012763153338050009,-0.005116450238037327,0.007968735497911902,0.0059184918051705445,0.03677812213455457,-0.0015829473499815948,0.0061018132939929795,0.022648182904654646,0.2190133908158273,0.18737400812965282,0.3217684046798809,-0.010842488495343158,0.011523521249560992,-0.0013395774599286787,-0.029128844344066696,0.0019822391330164926,-0.030367164974142186,0.003914285099440473,-0.10107652919192169,0.010977621946734357,-0.0612075121175231,0.0021837897575828894,0.002297885318007575,0.07489467703525232,-0.005243228193902325
0.080948651,-0.283520169,0.246678383,-0.458241616,0.34038879,-0.779755647,0.058552273,-0.190175296,-0.215250932,-0.652834635,-0.603375406,-0.310464706,-0.112147278,0,-0.017998981445393997,0.006660726298239436,0.08877224786287066,0.025176045202460105,-0.00628329152541948,0.015641862828916945,-0.011003560120359959,0.07710489516850245,0.014665246279038605,0.038871266095140036,0.005843519420026144,-0.005025069360995312,-0.00940539626653539,-0.01477479631815834,-0.005999165405428628,0.002227587225249932,-0.014433796218397922,-0.00877636118355427,0.10199201532500903,0.09999142204491375,0.25864017630654496,-0.0007343141667774079,0.008642933695427535,-0.013444306331571594,0.009721370529523016,-0.0008106361501281474,0.024059962910488345,-0.005213106117640407,-0.05311317330094604,0.0032982542014762272,-0.027700000300518796,0.0012110206563773233,-0.004601014549954936,0.07747852757088525,0.002252064460238842
-1.28492681,1.532520021,-0.412821323,-0.598405121,-1.485919493,1.492362301,-0.964082223,1.249347186,1.013493966,-0.317353574,0.033719323,1.804442322,-0.168025784,0,-1.5443257117829525,0.06025246432762201,2.094688487751684,-0.2038904577755652,0.13024371005438481,-0.03418379497558213,0.09439805287890045,0.04894664526377661,0.02869309047391781,2.6935031794382644,0.04268994065328018,-0.361187246879638,-0.2697280861776886,0.09663372635047587,-0.18225327971815938,0.02304478483300212,-0.12059140121928183,-0.2765671184474746,1.2823629340170128,0.9010618711794701,-0.24063119912946676,-0.1919203371120694,0.23815654733025177,0.28907430409557705,-0.0778104664730457,0.019997857821924907,0.007267890805937846,-0.001271767841102655,-0.005680796512953882,0.0008678636401156411,0.0007525081757761704,-0.0001013981396024235,-0.044752304444558556,0.8618424236195111,0.21551718274107876
-0.953198295,0.418371295,-0.174668652,-1.074961039,-0.778225033,-0.85275542,-0.282325892,-1.039357329,-0.940094137,-0.862510298,-0.003756838,-0.300499455,-0.211009249,0,-0.31275156438615137,0.006959585650862288,0.2994919026418986,-0.06990016240010105,0.1735637589824389,-0.02598187833595852,-0.14107244671147778,0.23896882550406653,0.0647292107309762,1.0464832348685744,0.009459938540197183,-0.055396070345793934,0.11752163565977258,0.06355711930567186,0.07725568314186919,-0.0035948319978925326,0.036089135327659,0.04627936567043019,0.6095971320068272,0.47758976188738117,0.37369995832813346,-0.04169293781878863,0.029508831118275743,0.15206999980578273,-0.0619292112070691,0.0073543733235048835,-0.00022105876421133424,7.420981980056673e-05,-0.00036166216136548733,8.969026186110713e-05,-0.0002278640120301456,1.4187280971909335e-05,0.0031533264583253947,0.08201225831369587,-0.01051039939282762
-0.219610741,-0.14072448,0.246678383,0.186510507,0.112100255,0.141866492,0.603957338,0.931471559,3.160890413,0.898765274,0.164885884,-0.133698553,-0.079909679,0,0.024236928650762435,0.003306033740203046,0.014510897085355688,0.008903973365481328,-0.006938090278071329,-0.006366448757124131,-0.021936002832273874,0.04320498142853467,-0.0042531312447871205,-0.03472993732521289,0.00192444650448795,-0.01707009410587983,0.015171340213158985,-0.003467077128406893,-0.0029611206237873788,-0.000201160040023548,0.0008648349301410519,0.016470177985237564,0.09088725201410527,0.26714585786898537,0.064782900088515,0.020548890209704834,0.08915047972947039,0.0564429465260223,-0.13804894649103477,-0.005957981075112966,-0.0032634466691402373,0.00046916303801631994,-0.0026407021785492296,0.013235623232335186,-0.010421224303730051,-0.00023580774922034761,-0.0019813813801460617,-0.006070397504551251,0.010003633932926494
-0.802250689,0.310038853,0.21003951,-0.990862936,-0.527107644,-0.168382545,0.194903539,-0.58979037,-0.556353617,-0.163092193,0.352266687,-0.149281797,-0.163727437,0,-0.1950655491888724,-0.006201884215536297,0.15032577267027294,-0.04019318282234567,0.13465012128429266,0.02879900162329227,-0.07378971835370568,0.0416515331671314,0.04629575198852077,0.5965587702133132,-0.007704925795289023,0.025902524423307483,0.04516944344460177,0.03340244781470023,0.012838960419816584,-0.0005260238333274052,0.004826620748014677,-0.006308541939223812,0.06830433860450495,0.055809375243272355,0.013952901030301114,0.024224697127112067,0.024496669944006715,-0.09676836896970462,0.008084132961650153,-0.003939441534069532,0.015360702813985284,-0.0047130777218760845,0.006696143639754649,-0.004977072539767031,0.004040115025695909,-0.0010322104422876017,-0.0018837277182990966,0.008044786399935196,0.0036045528794750124
-0.38280336,-0.039488859,0.01463219,-1.018895637,-0.024872866,-0.85275542,-0.077798993,-1.012110846,-0.916837136,-0.721728067,0.127409724,-0.319560505,-0.19811421,0,0.011855085237749956,5.5028852058322155e-05,-0.0009034797529175954,0.006194482436237229,0.06606759688059742,0.002063012629466514,-0.13020941069262543,0.18953417682291954,0.057603838664594814,0.01343214566830559,-2.532814079578975e-05,-0.0004878910579223409,0.003657645885187961,0.0019072120131426661,0.031025795200150755,0.0003393058166035663,0.001153445583214397,0.012752950217680489,0.5936167011861264,0.4657746625982293,0.31270322126883676,-0.004614006998877478,-0.0006811921536395881,0.039719501638586854,-0.014279997152289168,0.0019027558845025622,-0.0007076207355235239,-8.043815810642958e-05,0.012265441352760005,-0.002966512963363913,0.00646643851161726,-0.00045174505973099855,-0.00028091356298069937,0.08721439672133546,-0.0030800083669990947
1.200142773,-0.632914082,-0.547163856,0.635033723,0.865452421,0.032366832,-0.00962336,-0.853173033,-0.781171295,1.679058278,0.146147804,-0.041001661,0.029698159,0,-0.5957060726653145,-0.03298137033786772,0.5038554548628007,-0.014882952656968856,0.12909599513488926,0.0480813931216974,0.06840982832791688,0.2748190253885456,0.005381860204908281,1.465277676338766,-0.03295556398435778,0.0020998727721704947,-0.10728229735098482,0.009947873217301314,0.003691949906783501,-0.00020641306523580546,0.0015233166275119472,-5.987411766855344e-05,-0.018992881445132816,-0.01506279777593044,0.027612150750389194,0.001789320670707019,0.0031508698417128628,-0.0030621300675080375,0.004109349250911309,-3.528171859412441e-05,-0.013009495135955392,0.003210474343530518,-0.0005340090345099014,-0.0028992792684485727,-0.017256274752082336,7.767782059285893e-05,0.0013478114130462424,-0.0004247293158018925,-4.888245453253896e-05
-1.058282764,-0.487884251,-0.687612867,-0.794634029,-0.960855861,-0.880130335,-0.555028425,-1.629697779,-1.44399583,-0.852026515,0.108671644,-0.26184231,-0.20456173,0,0.4049234017234021,-0.03194974013319882,-0.43121419792355825,0.07902345264918043,0.14244655438919396,-0.07560908915314384,-0.16351546160761826,0.174503646027608,0.04638714490514961,1.4345106876578766,0.04598015046787962,-0.13446105722121804,0.22751658752565745,0.0760746824037959,0.08852611484536459,0.004326692392817403,0.045988794462531415,0.09390190774014211,0.9865238915177054,0.7571328763213169,0.3810082433365459,-0.09100085664231182,0.2283734168196726,0.2209950250354243,-0.12026766689999037,0.01401629031830875,-0.007456867509380935,-0.002650380289702124,0.010797403814060597,-0.003985048909587433,0.006511159438010666,-0.0003978467686194292,0.01081668284765045,0.07375600878867684,-0.018004450493253898
