source,target,weight
asset_liabilities,rect_turn,0.5826574702247664
debt_ratio,leverage_ratio,0.557393441296437
debt_ratio,asset_liabilities,-1.1179211560529136
debt_ratio2,debt_ratio,-0.6172496319068921
debt_ratio2,roa,0.5353384591426054
debt_ratio2,capitalization_ratio,0.6566884149981679
debt_ratio2,totaldebt_invcap,0.7587191209840305
roa,roe,0.6042729730436368
roa,asset_turnover,0.5106724504908232
capitalization_ratio,debt_ratio,0.7184078665538618
capitalization_ratio,roa,-0.46589696610519643
capitalization_ratio,longtermdebt_invcap,0.9078680235573486
capitalization_ratio,totaldebt_invcap,-0.8238271083377011
longtermdebt_invcap,totaldebt_invcap,0.5180634316113449
totaldebt_invcap,leverage_ratio,0.3734174844013288
totaldebt_invcap,debt_ratio,0.6461769376087184
debt_ebitda,debt_ratio2,0.3204634198782742
