seed,threshold,AUROC,AUPRC,F1,Brier,ECE
35,0.78,0.8319446750966764,0.33694049812778126,0.3813953488372093,0.037321235459565255,0.03760487529307916
42,0.81,0.8254703328509407,0.33948984147694894,0.357487922705314,0.03687216831478681,0.03695856383732736
55,0.8200000000000001,0.8343004910915518,0.3409836964545344,0.3804878048780488,0.03784636771044599,0.03769122684653494
64,0.8400000000000001,0.8287869801428198,0.3398830122165622,0.3626943005181347,0.036978438161213226,0.036897095616250965
100,0.88,0.838646769946146,0.3453700404554303,0.3469387755102041,0.037532710383150855,0.038375880522682426
mean,0.826,0.8318298498256269,0.3405334177462514,0.3658008304897822,0.037310184005832435,0.03750552842317497
