seed,rank_within_seed,feature,importance_gain
64,9,roe__mul__debt_ebitda,4387.208666995168
64,10,roa__mul__debt_ebitda,4231.309516146779
64,11,totaldebt_invcap__mul__rect_turn,4109.883668780327
64,12,asset_turnover__mul__cash_debt,3538.3975540548563
64,13,asset_liabilities__mul__asset_turnover,3198.324482098222
64,14,longtermdebt_invcap__mul__cash_debt,3114.7295176684856
64,15,capitalization_ratio__mul__longtermdebt_invcap,3092.5789164453745
64,16,cash_debt__mul__rect_turn,3075.106160774827
64,17,asset_liabilities__mul__rect_turn,2565.198729276657
64,18,asset_liabilities__mul__debt_ratio,2298.2437418550253
64,19,longtermdebt_invcap__mul__totaldebt_invcap,2190.8552219718695
64,20,asset_turnover__mul__debt_ratio2,2163.8310083299875
64,21,totaldebt_invcap__mul__cash_debt,1989.1527447253466
64,22,asset_turnover__mul__totaldebt_invcap,1915.7265485972166
64,23,roa__mul__rect_turn,1818.6058694422245
64,24,debt_ratio__mul__roa,1796.6589560210705
64,25,asset_turnover__mul__roa,1745.0466416925192
64,26,capitalization_ratio__mul__cash_debt,1641.06366366148
64,27,asset_liabilities__mul__roa,1602.5195171684027
64,28,leverage_ratio__mul__debt_ebitda,1577.59390899539
64,29,roe__mul__rect_turn,1549.5803244560957
64,30,debt_ratio__mul__totaldebt_invcap,1536.5306605249643
64,31,roe__mul__asset_turnover,1486.0370790064335
64,32,debt_ratio2__mul__roa,1276.509154304862
64,33,debt_ratio__mul__debt_ebitda,1210.1008320897818
64,34,roa__mul__totaldebt_invcap,1173.9406701922417
100,1,roe__mul__totaldebt_invcap,16632.461381405592
100,2,asset_turnover__mul__totaldebt_invcap,11426.068589285016
100,3,asset_turnover__mul__cash_debt,7608.297021791339
100,4,roe__mul__roa,7156.436261028051
100,5,asset_turnover__mul__rect_turn,6830.194004222751
100,6,roe__mul__asset_turnover,6597.140007197857
100,7,roe__mul__rect_turn,6380.528957948089
100,8,asset_turnover__mul__roa,5951.456480935216
100,9,roa__mul__cash_debt,4641.952774092555
100,10,asset_turnover__mul__debt_ratio,4611.491951331496
100,11,capitalization_ratio__mul__longtermdebt_invcap,4036.9946259856224
100,12,debt_ebitda__mul__rect_turn,4013.9217846542597
100,13,asset_liabilities__mul__debt_ebitda,3841.2197283655405
100,14,roa__mul__rect_turn,3270.125429302454
100,15,debt_ratio2__mul__rect_turn,3160.023262038827
100,16,asset_turnover__mul__capitalization_ratio,2909.3551110476255
100,17,roe__mul__debt_ebitda,2401.917815923691
100,18,longtermdebt_invcap__mul__totaldebt_invcap,2231.658198401332
100,19,asset_liabilities__mul__asset_turnover,2010.6072551757097
100,20,asset_liabilities__mul__longtermdebt_invcap,1909.4013382941484
100,21,cash_debt__mul__rect_turn,1762.339137017727
100,22,debt_ratio2__mul__cash_debt,1716.5485537946224
100,23,asset_turnover__mul__debt_ratio2,1672.5282039940357
100,24,asset_liabilities__mul__debt_ratio,1509.0668624788523
100,25,totaldebt_invcap__mul__cash_debt,1492.9064229875803
100,26,asset_liabilities__mul__totaldebt_invcap,1325.0021680146456
100,27,totaldebt_invcap__mul__debt_ebitda,1323.875663176179
100,28,asset_liabilities__mul__cash_debt,1219.4815761744976
100,29,leverage_ratio__mul__asset_liabilities,1216.3628895133734
100,30,roa__mul__totaldebt_invcap,1101.794352978468
100,31,capitalization_ratio__mul__rect_turn,1101.1429942548275
100,32,longtermdebt_invcap__mul__rect_turn,1096.5678492188454
100,33,leverage_ratio__mul__roa,1091.2125600725412
100,34,longtermdebt_invcap__mul__debt_ebitda,1064.6578442901373
