seed,n_original_features,n_selected_pairwise,n_final_features,threshold,val_best_f1,AUROC,AUPRC,F1,Brier,ECE
35,13.0,34.0,47.0,0.75,0.5897435897435898,0.8270740907689023,0.3481490213528991,0.3669724770642202,0.037629561887131305,0.03591546607290181
42,13.0,34.0,47.0,0.89,0.5753424657534246,0.8356053237171124,0.35525488382839765,0.38144329896907214,0.036898310443371884,0.03498787123694148
55,13.0,34.0,47.0,0.9,0.5714285714285714,0.8354582334938673,0.3396384826228546,0.34594594594594597,0.03735893041555667,0.03429892193285678
64,13.0,34.0,47.0,0.72,0.6233766233766234,0.8353657089986004,0.35116471186067133,0.35185185185185186,0.0373450321838466,0.035514836536834765
100,13.0,34.0,47.0,0.7100000000000001,0.6075949367088608,0.8393869659082821,0.3590346483562628,0.38596491228070173,0.03785842621545109,0.0378628777129847
mean,13.0,34.0,47.0,0.7939999999999999,0.593497237402214,0.8345780645773531,0.3506483496042171,0.3664356972223584,0.037418052229071505,0.03571599469850391
