column,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,missing_ratio,skew,kurtosis
leverage_ratio,17881.0,-2.797506213159837e-16,1.000027963814829,-2.3475712386132823,-1.7391945013485584,-1.2793608948395339,-0.6372769783235913,-0.15749513363154713,0.4745701364755127,1.7026335496176546,3.385677091675188,20.120245197946826,0.0,2.1425549683827296,19.073721481113292
asset_liabilities,17881.0,-9.473373312745813e-16,1.000027963814829,-1.0682361094380008,-0.8413532020811926,-0.6629292333291169,-0.403506975547283,-0.15172908078693506,0.1593667349429197,1.0029627999734791,2.561786320084354,25.648236410108275,0.0,11.664175821449486,204.75654134083896
roe,17881.0,-1.2715937332544716e-17,1.000027963814829,-15.062263867846472,-4.070602100297516,-0.931872017786314,-0.15634921529813758,0.10012289261133803,0.3504885217610642,0.71077076858628,1.3458445596002198,21.0270256022726,0.0,-2.8934080104778985,64.19058759450121
asset_turnover,17881.0,3.178984333136179e-17,1.000027963814829,-1.579549656878013,-1.1310264406779087,-0.9628302346028725,-0.5984051214402849,-0.09381650321516767,0.3266740119724301,1.3078185474101585,2.8215844020855103,23.62184855336535,0.0,7.3725210263547725,121.07501004376093
debt_ratio,17881.0,-3.178984333136179e-16,1.000027963814829,-13.539554158887405,-3.316793546109887,-1.4630906391033351,-0.32164796237516086,0.15775796185067228,0.568677325472815,1.0024255426295186,1.3448583456479708,1.687291148666423,0.0,-4.585102036884871,41.75443580522867
debt_ratio2,17881.0,-2.861085899822561e-17,1.000027963814829,-1.24512920238868,-1.2086293156829349,-1.080879712212827,-0.6885059301260679,-0.21400740295138207,0.4156156427227201,1.6748617340709246,3.746230304621956,7.405343946872898,0.0,2.330755389626291,9.900759716703552
roa,17881.0,-2.2888687198580486e-16,1.000027963814829,-7.986172430606397,-2.532121783951567,-1.1004334892046894,-0.41867715837282965,-0.0777989929569034,0.3312548055422016,1.2175380356236103,3.399158294285546,12.46651749434919,0.0,2.6681704646738416,30.129979430558343
capitalization_ratio,17881.0,6.357968666272358e-18,1.000027963814829,-1.7023550652463,-1.6614853417608735,-1.4798421262700894,-0.8304676308905367,-0.09027152776559086,0.7770748262029031,1.7125373859804418,2.1403071584612414,2.6071302222725534,0.0,0.2664537923560239,-0.8897213917697058
longtermdebt_invcap,17881.0,-6.993765532899593e-17,1.000027963814829,-1.506014500074623,-1.4711289982324776,-1.3160823233784977,-0.7540381270328208,-0.11834676013150364,0.6491342803956963,1.5018909920925856,2.417441607105339,10.320170624412688,0.0,1.7311883407315607,10.05220352182159
totaldebt_invcap,17881.0,1.653071853230813e-16,1.0000279638148288,-1.2818616248076242,-1.23543344221737,-1.058706811712532,-0.6213832853785257,-0.24995782465649286,0.2682406003831171,2.0489860552157664,3.752750587947158,6.8131166622995805,0.0,2.0839421872457833,6.148647361672651
cash_debt,17881.0,2.2948293154826792e-17,1.000027963814829,-10.197272489144144,-3.301658960330139,-1.5777555781266401,-0.20987572050864536,0.07119548311149057,0.2585762855249145,1.3453849395227737,2.9943360007609026,6.910594771201463,0.0,-0.7199748173950826,12.6029837181179
debt_ebitda,17881.0,1.986865208210112e-17,1.000027963814829,-14.366149387979604,-1.8793696468557324,-0.43225477911131066,-0.29153741818964507,-0.11457062303815875,0.14479341006745877,0.9022193190208158,2.4956561650087874,26.47806783265828,0.0,6.9024142704835985,186.10258166151553
rect_turn,17881.0,-5.722171799645122e-17,1.000027963814829,-0.24754519542030565,-0.22605346252122088,-0.2067109029120448,-0.15727991724414958,-0.09925223841662068,-0.01758365340009853,0.15649938308248798,1.3583170867993186,37.85084971478729,0.0,18.542936501148795,428.8281685274228
