Variable,N,Mean,Std,Min,Median,Max
leverage_ratio,17881,10.9964,4.4918,0.452,10.289,101.369
asset_liabilities,17881,1.11,0.0846,1.0197,1.0972,3.2787
roe,17881,0.0876,0.1638,-2.379,0.104,3.531
asset_turnover,17881,0.0753,0.0357,0.019,0.072,0.918
debt_ratio,17881,0.9041,0.0438,0.311,0.911,0.978
debt_ratio2,17881,0.1375,0.1096,0.001,0.114,0.949
roa,17881,0.0231,0.0147,-0.094,0.022,0.206
capitalization_ratio,17881,0.3769,0.2202,0.002,0.357,0.951
longtermdebt_invcap,17881,0.3905,0.258,0.002,0.36,3.053
totaldebt_invcap,17881,0.8639,0.6677,0.008,0.697,5.413
cash_debt,17881,0.0092,0.0534,-0.535,0.013,0.378
debt_ebitda,17881,6.8221,14.9524,-207.98,5.109,402.721
rect_turn,17881,0.1542,0.4653,0.039,0.108,17.766
