leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn,label,edge_NOTEARS__asset_liabilities__rect_turn,edge_NOTEARS__debt_ratio__leverage_ratio,edge_NOTEARS__debt_ratio__asset_liabilities,edge_NOTEARS__debt_ratio2__debt_ratio,edge_NOTEARS__debt_ratio2__roa,edge_NOTEARS__debt_ratio2__capitalization_ratio,edge_NOTEARS__debt_ratio2__totaldebt_invcap,edge_NOTEARS__roa__roe,edge_NOTEARS__roa__asset_turnover,edge_NOTEARS__capitalization_ratio__debt_ratio,edge_NOTEARS__capitalization_ratio__roa,edge_NOTEARS__capitalization_ratio__longtermdebt_invcap,edge_NOTEARS__capitalization_ratio__totaldebt_invcap,edge_NOTEARS__longtermdebt_invcap__totaldebt_invcap,edge_NOTEARS__totaldebt_invcap__leverage_ratio,edge_NOTEARS__totaldebt_invcap__debt_ratio,edge_NOTEARS__debt_ebitda__debt_ratio2,edge_NOTEARS__rect_turn__roa
0.8764291757651368,-0.5081966833639936,0.1184423288905863,0.1584778058973912,0.7513081537493229,-0.8618803919783569,-0.3505015252896445,-0.603413611527056,-0.5679821172080451,-0.5255315535792914,-0.5471611648528085,-0.2945470575629696,-0.0003902670808306,0,0.00014189120819738736,0.36757683136734315,0.4267731266061063,0.39861204452633353,0.12854829579388413,0.34145557898613454,0.3434581396801162,-0.025116354938066254,-0.02437512505286352,-0.32362765699921314,-0.08069187199701439,0.31104217882064816,-0.2604679087879231,0.15398670903072037,-0.17122017767828762,-0.254695948628829,0.08131051494432187,4.462804072015081e-05
0.8321244949791897,-0.4976390147675295,0.1795071164880798,0.2706086099474174,0.7284793002147594,-0.8801303353312303,-0.2141502591232738,-0.6669887369488303,-0.622248453406938,-0.547996803219737,-0.2848280414740149,-0.3162833419258695,0.0103555993687117,0,-0.0036868154802934786,0.3383909371609689,0.405208711345563,0.3946839994784975,0.08020381100699107,0.38542297581240853,0.3657236378521922,-0.02325733969884754,-0.025430137303296144,-0.3468551446036809,-0.05449565547434513,0.37666203354620353,-0.30021808420160145,0.1759104458288911,-0.16951403104490345,-0.25751372360233665,0.08915964515904078,-0.0007235188212107318
0.9568009836230618,-0.5271108637263973,0.3016366916830683,0.2706086099474174,0.7969658608184473,-0.8071305619197393,-0.1459746260400885,-0.2719147432563749,-0.2850219355995319,-0.4820987376077633,0.5021713286623657,-0.2873908039419534,-0.0046886136606476,0,0.0017681054224889007,0.4256714593062409,0.4695575428395825,0.3959759641463764,0.050136103030293255,0.1440949158699219,0.29505827728456746,-0.02663920755162588,-0.01733434644531478,-0.1546980709654907,-0.015143801318376584,0.07033646886395932,-0.1076735604012166,0.07088658553838685,-0.17147346646124384,-0.24784539289307453,0.0742953583485124,0.0002232943881118336
0.5912317079922788,-0.4489273660179958,0.4848310544755509,0.6070010220974928,0.6371638860765054,-0.6155061567145776,0.1267279062926526,-0.476263360683507,-0.3586691061551724,-0.0672404609142025,-0.5471611648528085,-0.2584982659580372,0.0189522925283456,0,-0.006086947720666834,0.21029167042840355,0.3197233602245684,0.241417566776536,-0.03319204968540024,0.19246496430649612,0.03138275737037295,0.037172558254100756,0.033755937381319,-0.21662608396651292,0.023027363050374873,0.15502818526354775,-0.02630378086881652,0.012441548321755085,-0.014778410278411461,-0.027636750133570302,0.05096066163232596,0.0007835920107576538
0.532900922233896,-0.4515082535190726,0.3871273943195608,0.8592953312100541,0.5915061790073785,-0.6063811850381415,-0.009623359873718,-0.603413611527056,-0.4904587797810551,-0.044775211273757,1.0080994951786104,-0.2442526395909675,0.0683832781962406,0,-0.022089065875818565,0.17596202796075977,0.2985190943384945,0.2207955507985809,0.0024831437116591645,0.24023314667622278,0.020587868100562998,-0.0022539298369046784,-0.003628755185559495,-0.2547926012215032,-0.0022154737342998942,0.2685883285105917,-0.022191827620210255,0.01132895718566381,-0.008869996239916232,-0.017084491908082405,0.04743839702878257,-0.0002147002903841855
0.3970926042468204,-0.406264252358135,0.6619189385082848,1.391916650447678,0.523019618403688,-0.5333814116266513,0.4676060717085789,-0.5171330841689334,-0.2152509319152409,0.2442776674333085,0.2211001250422297,-0.2667914944534206,0.1350076501834034,0,-0.03923997560933627,0.11593724578924852,0.23750552971569586,0.17172802314961955,-0.10613226404235179,0.18109743930065453,-0.09879834207354812,0.1872598668012528,0.28561555900624686,-0.19307797129828427,0.09225868092252004,0.10102221443598233,0.10375915145378847,-0.027125551899891874,0.036059100002689415,0.0824151174327189,0.045577959543244756,0.0205965513331916
0.3211735281261769,-0.3680944661673094,0.4787245757158022,1.5040474544977045,0.5001907648691245,-0.5060064965973434,-0.009623359873718,-0.4490168783598893,-0.1338514276169016,0.2337938842677674,0.0711954831114905,-0.2104777977347692,0.1178142638641355,0,-0.031025508116255204,0.08967855721322457,0.2057984471576342,0.1558034522370319,0.0020721072505001034,0.1491732215737251,-0.08970512489693808,-0.0027872261707594143,-0.006351506637596223,-0.16032851113417154,-0.0016485957248232558,0.05454503119637493,0.08622558243567342,-0.016143806090707653,0.02791336593476266,0.07543518388779263,0.034112017525198546,-0.00036989681293780874
0.4115639823929845,-0.3851574641190375,0.4237662668780573,1.0835569393101063,0.5458484719382515,-0.5790062700088328,-0.0777989929569034,-0.1674698943491739,0.2847745944888436,0.08702091995019,-0.1349233995432757,-0.2271311356004986,0.0662341049063321,0,-0.018250792632920662,0.12540725470597178,0.2349944219547111,0.19455423112269232,0.01916843483758206,0.06366373630215487,-0.03820629748327498,-0.019946197701649945,-0.036992544390226374,-0.06525612324612418,-0.004970905395749731,-0.04328201877353037,0.011970181635660384,0.012784233394626846,0.013313748575199874,0.030640856928213302,0.04212160986492955,-0.0016811700154852798
0.4351634606005746,-0.3732665016463953,0.405446830598809,1.2517531453851454,0.5458484719382515,-0.5972562133617052,-0.0777989929569034,-0.1447644924128261,0.3235362632023388,0.0645556703097444,0.2960524460075994,-0.2310102263483392,0.070532451486149,0,-0.018835178296526475,0.132598228409014,0.22773944155562917,0.20068646816564628,0.01977261283714632,0.05676685555224444,-0.02923634563157731,-0.01908392260717242,-0.04273474897013526,-0.05640876287207491,-0.0042969549795469734,-0.042506420839350835,0.007676031898271013,0.010774748418660787,0.010443020652458149,0.022730638322348222,0.04419131290855472,-0.0017902716844271523
0.5052939854627523,-0.4432820456404494,-0.0036872463044021,1.111589640322613,0.5915061790073785,-0.6611310150967591,-0.6232040576223925,-0.3354898686781494,-0.3392882717984248,-0.3203489401965556,0.2398382052835721,-0.1453358255210324,0.0576374117466982,0,-0.01827874406389358,0.1668463136180798,0.29308025660601206,0.24073106196250463,0.17532635917862535,0.14562604366882442,0.16059752164564928,0.0013902476917595427,-0.30399276904757355,-0.1416612663205285,-0.07976905700859963,0.10330415219705723,-0.08827607706218756,0.05607146685895514,-0.06017370333182777,-0.12223278731369344,0.030775508361506002,-0.011719004771085857
