column,n0,n1,mean0,mean1,mean_diff(1-0),cohen_d(approx)
asset_turnover,17485,396,0.07593039748355733,0.04957323232323232,-0.026357165160325012,-0.7432276260597839
totaldebt_invcap,17485,396,0.874230826422648,0.40758585858585855,-0.4666449678367895,-0.7025729671972868
debt_ratio2,17485,396,0.13878187017443522,0.07877525252525253,-0.06000661764918269,-0.5493142881285348
leverage_ratio,17485,396,11.047369516728624,8.746297979797978,-2.301071536930646,-0.5137361009002147
capitalization_ratio,17485,396,0.37931678581641404,0.2692348484848485,-0.11008193733156552,-0.501221019284839
longtermdebt_invcap,17485,396,0.3932490706319703,0.2705580808080808,-0.12269098982388948,-0.476713025841847
Unnamed: 0,17485,396,10687.97249070632,13602.555555555555,2914.5830648492356,0.4717934402746792
debt_ratio,17485,396,0.9044753788961968,0.8870530303030304,-0.01742234859316638,-0.3983929881345285
asset_liabilities,17485,396,1.109423843505972,1.1363115641692707,0.026887720663298698,0.31831682072435397
debt_ebitda,17485,396,6.906911524163569,3.075300505050505,-3.8316110191130637,-0.2564295704917503
roe,17485,396,0.08729791249642549,0.10111111111111111,0.01381319861468562,0.08435178524419891
roa,17485,396,0.02312685158707463,0.02377272727272727,0.0006458756856526394,0.04403144555987639
cash_debt,17485,396,0.009240892193308547,0.007416666666666658,-0.0018242255266418886,-0.0341810050340412
rect_turn,17485,396,0.15452782384901342,0.13889393939393938,-0.01563388445507405,-0.033598458470404075
