column,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,missing_ratio,skew,kurtosis
Unnamed: 0,17881.0,10752.52004921425,6192.367565176652,1.0,236.8,1010.0,5443.0,10795.0,16209.0,20235.0,21041.4,21242.0,0.0,-0.03130963328626664,-1.2159011438601617
leverage_ratio,17881.0,10.996409037525867,4.491750335830687,0.452,3.1846,5.25,8.134,10.289,13.128,18.644,26.203600000000012,101.369,0.0,2.1425549683827287,19.073721481113296
asset_liabilities,17881.0,1.1100193100560904,0.08455869499312971,1.0196931845605226,1.038877570654241,1.053964446720803,1.07590024088252,1.0971896557583172,1.1234947763627352,1.1948261640253426,1.326634560744916,3.278740064064539,0.0,11.664175821449485,204.75654134083896
roe,17881.0,0.08760382528941334,0.16376507692231215,-2.379,-0.579,-0.065,0.062,0.104,0.145,0.204,0.308,3.531,0.0,-2.8934080104778985,64.19058759450118
asset_turnover,17881.0,0.07534668083440522,0.035673621438357866,0.019,0.035,0.0409999999999999,0.054,0.072,0.087,0.122,0.176,0.918,0.0,7.3725210263547725,121.07501004376098
debt_ratio,17881.0,0.9040895363793972,0.04380543956361021,0.311,0.7588,0.84,0.89,0.911,0.929,0.948,0.963,0.978,0.0,-4.585102036884872,41.75443580522868
debt_ratio2,17881.0,0.13745293887366478,0.10959244579325507,0.001,0.005,0.019,0.062,0.114,0.183,0.321,0.5479999999999999,0.949,0.0,2.3307553896262916,9.900759716703554
roa,17881.0,0.023141155416363732,0.014668407443970978,-0.094,-0.0139999999999999,0.0069999999999999,0.017,0.022,0.0279999999999999,0.0409999999999999,0.073,0.206,0.0,2.6681704646738407,30.12997943055835
capitalization_ratio,17881.0,0.3768788658352441,0.22021807114850742,0.002,0.011,0.051,0.1939999999999999,0.357,0.5479999999999999,0.754,0.8482000000000007,0.951,0.0,0.26645379235602396,-0.8897213917697058
longtermdebt_invcap,17881.0,0.3905319053744198,0.2579940433438221,0.002,0.011,0.051,0.196,0.36,0.5579999999999999,0.778,1.0142000000000007,3.053,0.0,1.7311883407315605,10.052203521821593
totaldebt_invcap,17881.0,0.8638963145237961,0.6677165710287183,0.008,0.039,0.157,0.449,0.6970000000000001,1.043,2.232,3.3696000000000024,5.412999999999999,0.0,2.083942187245782,6.148647361672646
cash_debt,17881.0,0.009200492142497617,0.053368752344673864,-0.535,-0.1669999999999999,-0.075,-0.002,0.013,0.023,0.081,0.1689999999999999,0.3779999999999999,0.0,-0.7199748173950828,12.602983718117907
debt_ebitda,17881.0,6.822055086404563,14.95237561367915,-207.98,-21.2782,0.359,2.463,5.109,8.987,20.312,44.13700000000006,402.721,0.0,6.9024142704835985,186.10258166151553
rect_turn,17881.0,0.1541815893965662,0.46530820409433576,0.039,0.049,0.0579999999999999,0.081,0.108,0.146,0.2269999999999999,0.7862000000000043,17.766,0.0,18.542936501148795,428.8281685274228
