column,corr_with_target,n_used
asset_turnover,-0.10873071679720832,17881
totaldebt_invcap,-0.10284784231587078,17881
debt_ratio2,-0.08057851902108333,17881
leverage_ratio,-0.07539026397497428,17881
capitalization_ratio,-0.07356375039827096,17881
longtermdebt_invcap,-0.069984802883755,17881
Unnamed: 0,0.0692660564320331,17881
debt_ratio,-0.058530119241555906,17881
asset_liabilities,0.04679467854449191,17881
debt_ebitda,-0.03771134028144177,17881
roe,0.012412913109623367,17881
roa,0.006479876417765474,17881
cash_debt,-0.005030280825138557,17881
rect_turn,-0.004944551908118057,17881
