Unnamed: 0,leverage_ratio,asset_liabilities,roe,asset_turnover,debt_ratio,debt_ratio2,roa,capitalization_ratio,longtermdebt_invcap,totaldebt_invcap,cash_debt,debt_ebitda,rect_turn,label
3045,0.796725277667804,-0.46194934742106997,-0.3945018869283649,0.7191318261475187,0.7284793002147594,-0.18663248792207426,-0.7595553237887562,-0.957617881734085,-0.8703231331733057,0.987128588877374,0.6895521310757897,0.18070843992246557,0.01465394594852867,0
3046,1.0416255232182678,-0.5739072053787634,0.17340063772833045,0.5789683210849891,0.8197947143530108,-0.3691319214507995,-0.1459746260400885,-0.866796273988693,-0.7927997957463159,0.6771081438392256,0.44595708793833855,-0.14921491626887298,0.001758906209077791,0
3047,1.263371563734869,-0.5917225704678784,-0.4250342807271121,0.46683751703496285,0.8882812749567013,-0.3052571197157448,-0.5550284245392003,-0.6942352192724485,-0.6455054546350354,0.8478440411066117,0.22110012504222978,0.006885045894229433,-0.008986960240464609,0
3058,0.7757974385025828,-0.4844762754021849,0.4420857031573056,0.6070010220974928,0.7056504466801959,-0.8983802786841019,-0.35050152528964457,-1.1937540618721045,-1.0718838104834796,-0.49857325401075675,0.3335286064902841,-0.2988943144355496,-0.024031173269823968,0
3059,0.6217329203926547,-0.4434363517375756,0.43597922439755615,0.9153607332350672,0.6371638860765054,-0.8618803919783569,-0.41867715837282965,-1.2482470265193397,-1.1183978129396734,-0.4296798217800571,-0.003756837853879018,-0.2751516038237667,0.00820642607880323,0
3060,0.4398388289247196,-0.38945953839664726,0.36270147928056307,1.391916650447678,0.5458484719382515,-0.7523807318611218,-0.35050152528964457,-0.8804195151505018,-0.8044282963603643,-0.35928870623999454,0.6333378903517625,-0.24712851721436657,0.07268162477605757,0
3061,0.5923448909265993,-0.43185051043196127,0.3260626067220665,0.9153607332350672,0.6371638860765054,-0.4147567798329799,-0.21415025912327387,-0.8531730328268846,-0.7811712951322678,0.3476178157793582,0.2960524460075994,-0.13751076315038846,0.07053245148614909,0
3062,0.7034405477717641,-0.43090343545272397,0.3443820430013148,0.9714261352600804,0.6828215931456324,-0.4238817515094162,-0.1459746260400885,-0.9031249170868498,-0.8238091307171118,0.4105205147726054,-0.45347076364609645,-0.13423360027721276,0.06623410490633214,0
3063,0.7488584114920316,-0.5548431846704527,0.5886411933912916,1.0555242382976,0.7056504466801959,-0.3326320347450545,-0.00962335987371805,-0.5534617272670903,-0.5253442816232006,0.4404741809598661,0.8207186927651865,-0.15904640488840002,0.0748307980659658,0
3064,0.5075203513313932,-0.44706896675858615,0.5214699270340479,1.111589640322613,0.5915061790073785,-0.18663248792207426,0.46760607170857893,-0.7623514250814921,-0.7036479577052774,0.6816011937673149,-1.090565491851738,-0.18419361387440106,0.0748307980659658,0
3065,0.3438824599863109,-0.37293239783424875,0.4787245757158022,0.9433934342475738,0.5001907648691245,-0.16838254456920082,0.672132970958135,-0.9303713994104674,-0.8470661319452089,0.6950803435515823,0.31479052624894166,-0.20205080748946036,0.03184733226779627,0
3066,0.3434371868125827,-0.35111927947482524,0.31995612796231726,0.7751972281725344,0.5001907648691245,-0.1136327145105832,-0.00962335987371805,-0.9939465248322419,-0.9013324681441017,0.8478440411066117,-0.4722088438874389,-0.07303759968627928,0.006057252788894751,0
3067,0.5344593783419442,-0.411724808390385,0.3932338730793102,0.8312626301975475,0.614335032541942,0.3426158693112299,-0.0777989929569034,-1.0575216502540163,-0.9555988043429947,1.9411528569416276,-0.8094942882316021,0.0997157003425525,-0.002539440370739169,0
3068,0.9986566619535043,-0.5486676738460236,-0.052539076382397444,0.8873280322225606,0.7969658608184473,-0.19575745959851054,-0.486852791456015,-0.9757822032831635,-0.8858278006587037,1.112933986863869,0.989361414937268,0.04387016974864059,-0.004688613660647649,0
3069,0.8301207656974128,-0.573420839535034,0.3688079580403125,0.9714261352600804,0.7284793002147594,-0.25963226133356343,0.19490353937583776,-0.9667000425086247,-0.8780754669160051,0.8478440411066117,-1.5777555781266401,-0.18499618437395432,0.006057252788894751,0
3070,0.4113413458061202,-0.3947710462230401,0.3871273943195608,0.6910991251350153,0.5458484719382515,-0.6063811850381415,0.6039573378749497,-0.9984876052195114,-0.9052086350154512,-0.055258994439298284,1.4952895814535128,-0.2978911013111081,0.00820642607880323,0
3071,0.2118589639759247,-0.3549302491343181,0.28942373416357015,0.35470671298493667,0.4317042042654341,-0.31438209139218104,0.672132970958135,-0.41722931564900234,-0.40905927548271587,0.13943983577789612,0.23983820528357214,-0.24505521009052073,-0.026180346559732448,0
3072,0.009482306516496125,-0.21413868272236272,0.28942373416357015,0.21454320792240433,0.2947310830580532,-0.21400740295138207,0.5357817047917642,-0.6215779330761344,-0.5834867846934431,0.26674291707375425,-0.17239956002596057,-0.20720063486159357,-0.06056711919826807,0
3073,0.01148603579827272,-0.26263379309693274,0.28942373416357015,0.41077211500994976,0.2947310830580532,0.014116888959524617,0.46760607170857893,-0.5171330841689334,-0.4943349466524046,0.5513027458527309,-1.0156131708863683,-0.15075317639301664,-0.04122455958909175,0
3074,-0.1557140409366345,-0.1525849715494261,0.28942373416357015,0.46683751703496285,0.15775796185067228,0.004991917283088344,0.5357817047917642,-0.43085255681081114,-0.42068777609676433,0.37757148196661894,0.5771236496277353,-0.16426311313549594,-0.034777039719366305,0
3075,0.7956120947334839,-0.36864202722229733,0.35659500052081367,-0.26201270929020654,0.523019618403688,-0.8892553070076656,-0.35050152528964457,-0.9667000425086247,-0.8780754669160051,-0.5165454537231132,0.8394567730065289,-0.3034422139330179,-0.09065554525698696,0
3076,0.8641841634876136,-0.39216731059408316,0.26499781912457243,0.01831430083485852,0.5001907648691245,-0.31438209139218104,-0.41867715837282965,-1.0166519267685898,-0.9168371356294996,0.8044112251350838,-0.7532800475075748,-0.036520641956607536,-0.06056711919826807,0
3077,0.5634021346342716,-0.3565062366816277,-0.022006682583650315,-0.037751101190154575,0.568677325472815,-0.5790062700088328,-0.7595553237887562,-1.0575216502540163,-0.9555988043429947,0.08702091995019001,-0.26608996123267253,-0.05056562569878899,-0.04982125274872567,0
3078,0.6215102838057909,-0.4582291104099453,-0.10139090646039285,-0.12184920422767422,0.6371638860765054,-0.5516313549795239,-0.6913796907055709,-0.9258303190231979,-0.8431899650738593,0.11996995275617665,0.6520759705931048,-0.0393965195800066,-0.04982125274872567,0
